Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC1_DiodeQuarter_CV	
Temperature(C)= 21.8	Humidity(%)= 12.2	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 100.000E+3	Settling_time(s) = 0.5	
		
Voltage (V)	Capacitance (F)
0.000E+0	48.510E-12
-5.000E+0	10.985E-12
-10.000E+0	8.787E-12
-15.000E+0	7.623E-12
-20.000E+0	6.848E-12
-25.000E+0	6.411E-12
-30.000E+0	6.015E-12
-35.000E+0	5.705E-12
-40.000E+0	5.466E-12
-45.000E+0	5.235E-12
-50.000E+0	5.107E-12
-55.000E+0	4.903E-12
-60.000E+0	4.805E-12
-65.000E+0	4.770E-12
-70.000E+0	4.881E-12
-75.000E+0	5.002E-12
-80.000E+0	4.980E-12
-85.000E+0	4.771E-12
-90.000E+0	4.446E-12
-95.000E+0	4.305E-12
-100.000E+0	4.186E-12
-105.000E+0	4.106E-12
-110.000E+0	4.015E-12
-115.000E+0	3.983E-12
-120.000E+0	4.011E-12
-125.000E+0	3.945E-12
-130.000E+0	3.923E-12
-135.000E+0	3.928E-12
-140.000E+0	3.893E-12
-145.000E+0	3.898E-12
-150.000E+0	3.884E-12
-155.000E+0	3.822E-12
-160.000E+0	3.873E-12
-165.000E+0	3.833E-12
-170.000E+0	3.776E-12
-175.000E+0	3.843E-12
-180.000E+0	3.810E-12
-185.000E+0	3.770E-12
-190.000E+0	3.768E-12
-195.000E+0	3.737E-12
-200.000E+0	3.715E-12
-205.000E+0	3.729E-12
-210.000E+0	3.686E-12
-215.000E+0	3.716E-12
-220.000E+0	3.724E-12
-225.000E+0	3.695E-12
-230.000E+0	3.721E-12
-235.000E+0	3.692E-12
-240.000E+0	3.686E-12
-245.000E+0	3.687E-12
-250.000E+0	3.702E-12
-255.000E+0	3.696E-12
-260.000E+0	3.725E-12
-265.000E+0	3.686E-12
-270.000E+0	3.676E-12
-275.000E+0	3.700E-12
-280.000E+0	3.659E-12
-285.000E+0	3.668E-12
-290.000E+0	3.691E-12
-295.000E+0	3.656E-12
-300.000E+0	3.665E-12
-305.000E+0	3.682E-12
-310.000E+0	3.698E-12
-315.000E+0	3.694E-12
-320.000E+0	3.649E-12
-325.000E+0	3.634E-12
-330.000E+0	3.693E-12
-335.000E+0	3.654E-12
-340.000E+0	3.668E-12
-345.000E+0	3.675E-12
-350.000E+0	3.649E-12
-355.000E+0	3.690E-12
-360.000E+0	3.668E-12
-365.000E+0	3.658E-12
-370.000E+0	3.630E-12
-375.000E+0	3.694E-12
-380.000E+0	3.637E-12
-385.000E+0	3.679E-12
-390.000E+0	3.619E-12
-395.000E+0	3.624E-12
-400.000E+0	3.639E-12
-405.000E+0	3.701E-12
-410.000E+0	3.668E-12
-415.000E+0	3.696E-12
-420.000E+0	3.669E-12
-425.000E+0	3.661E-12
-430.000E+0	3.683E-12
-435.000E+0	3.733E-12
-440.000E+0	3.591E-12
-445.000E+0	3.711E-12
-450.000E+0	3.676E-12
-455.000E+0	3.669E-12
-460.000E+0	3.628E-12
-465.000E+0	3.657E-12
-470.000E+0	3.638E-12
-475.000E+0	3.687E-12
-480.000E+0	3.668E-12
-485.000E+0	3.674E-12
-490.000E+0	3.693E-12
-495.000E+0	3.681E-12
-500.000E+0	3.673E-12
