Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC1_DiodeQuarter_IV	
Temperature(C)= 23.4	Humidity(%)= 6.7	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	636.171E-9
-10.000E+0	804.070E-9
-20.000E+0	774.985E-9
-30.000E+0	641.431E-9
-40.000E+0	453.920E-9
-50.000E+0	250.998E-9
-60.000E+0	54.882E-9
-70.000E+0	1.475E-9
-80.000E+0	138.803E-12
-90.000E+0	34.745E-12
-100.000E+0	8.906E-12
-110.000E+0	7.063E-12
-120.000E+0	7.071E-12
-130.000E+0	7.210E-12
-140.000E+0	7.306E-12
-150.000E+0	8.158E-12
-160.000E+0	8.273E-12
-170.000E+0	8.355E-12
-180.000E+0	7.673E-12
-190.000E+0	8.441E-12
-200.000E+0	8.613E-12
-210.000E+0	8.740E-12
-220.000E+0	8.853E-12
-230.000E+0	8.969E-12
-240.000E+0	9.070E-12
-250.000E+0	9.198E-12
-260.000E+0	9.297E-12
-270.000E+0	9.369E-12
-280.000E+0	8.707E-12
-290.000E+0	9.441E-12
-300.000E+0	8.808E-12
-310.000E+0	9.785E-12
-320.000E+0	9.161E-12
-330.000E+0	8.930E-12
-340.000E+0	8.976E-12
-350.000E+0	9.062E-12
-360.000E+0	9.162E-12
-370.000E+0	9.312E-12
-380.000E+0	9.529E-12
-390.000E+0	9.863E-12
-400.000E+0	10.451E-12
-410.000E+0	11.315E-12
-420.000E+0	13.283E-12
-430.000E+0	14.645E-12
-440.000E+0	17.474E-12
-450.000E+0	22.613E-12
-460.000E+0	27.307E-12
-470.000E+0	33.826E-12
-480.000E+0	41.780E-12
-490.000E+0	50.945E-12
-500.000E+0	61.240E-12
-510.000E+0	72.925E-12
-520.000E+0	85.934E-12
-530.000E+0	100.488E-12
-540.000E+0	116.639E-12
-550.000E+0	134.908E-12
-560.000E+0	155.230E-12
-570.000E+0	178.182E-12
-580.000E+0	207.177E-12
-590.000E+0	233.851E-12
-600.000E+0	267.429E-12
-610.000E+0	304.549E-12
-620.000E+0	346.391E-12
-630.000E+0	393.072E-12
-640.000E+0	445.097E-12
-650.000E+0	503.113E-12
-660.000E+0	523.020E-12
-670.000E+0	485.370E-12
-680.000E+0	453.915E-12
-690.000E+0	429.279E-12
-700.000E+0	408.268E-12
