Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC1_DiodeQuarter_IV	
Temperature(C)= 21.9	Humidity(%)= 11.7	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	685.431E-9
-10.000E+0	596.833E-9
-20.000E+0	518.769E-9
-30.000E+0	423.192E-9
-40.000E+0	317.966E-9
-50.000E+0	212.673E-9
-60.000E+0	118.892E-9
-70.000E+0	21.707E-9
-80.000E+0	696.565E-12
-90.000E+0	72.316E-12
-100.000E+0	22.540E-12
-110.000E+0	9.944E-12
-120.000E+0	7.893E-12
-130.000E+0	7.947E-12
-140.000E+0	8.134E-12
-150.000E+0	8.170E-12
-160.000E+0	8.351E-12
-170.000E+0	8.573E-12
-180.000E+0	8.725E-12
-190.000E+0	8.930E-12
-200.000E+0	9.127E-12
-210.000E+0	9.321E-12
-220.000E+0	9.476E-12
-230.000E+0	9.592E-12
-240.000E+0	9.677E-12
-250.000E+0	9.759E-12
-260.000E+0	9.832E-12
-270.000E+0	9.892E-12
-280.000E+0	9.953E-12
-290.000E+0	10.012E-12
-300.000E+0	10.053E-12
-310.000E+0	10.088E-12
-320.000E+0	11.454E-12
-330.000E+0	10.300E-12
-340.000E+0	10.305E-12
-350.000E+0	10.402E-12
-360.000E+0	10.535E-12
-370.000E+0	10.810E-12
-380.000E+0	11.264E-12
-390.000E+0	12.682E-12
-400.000E+0	13.953E-12
-410.000E+0	15.334E-12
-420.000E+0	18.442E-12
-430.000E+0	23.467E-12
-440.000E+0	29.871E-12
-450.000E+0	39.222E-12
-460.000E+0	49.201E-12
-470.000E+0	61.579E-12
-480.000E+0	75.720E-12
-490.000E+0	91.632E-12
-500.000E+0	109.224E-12
-510.000E+0	128.877E-12
-520.000E+0	150.997E-12
-530.000E+0	176.566E-12
-540.000E+0	204.891E-12
-550.000E+0	235.116E-12
-560.000E+0	270.946E-12
-570.000E+0	311.888E-12
-580.000E+0	357.685E-12
-590.000E+0	409.340E-12
-600.000E+0	468.276E-12
-610.000E+0	533.363E-12
-620.000E+0	607.038E-12
-630.000E+0	691.316E-12
-640.000E+0	784.207E-12
-650.000E+0	882.626E-12
-660.000E+0	999.044E-12
-670.000E+0	1.027E-9
-680.000E+0	939.619E-12
-690.000E+0	868.254E-12
-700.000E+0	810.499E-12
