Name,V_fb [V],C_acc [F],N_ox [$cm^2$],t_ox [m]
VPX33234_011_PSS_EE_Left,-2.37,89.23,5.29E+10,6.44E-07
VPX33234_011_PSS_EE_Right,-2.372,87.425,5.18E+10,6.57E-07
VPX33234_012_PSS_EE_Left,-2.363,89.186,5.25E+10,6.44E-07
VPX33234_012_PSS_EE_Right,-2.353,87.447,5.12E+10,6.57E-07
VPX33234_013_PSS_EE_Left,-2.32,88.981,5.09E+10,6.46E-07
VPX33234_013_PSS_EE_Right,-2.323,87.474,5.01E+10,6.57E-07
VPX33234_014_PSS_EE_Left,-2.314,88.93,5.05E+10,6.46E-07
VPX33234_014_PSS_EE_Right,-2.308,87.431,4.96E+10,6.57E-07
VPX33234_015_PSS_EE_Left,-2.246,89.233,4.85E+10,6.44E-07
VPX33234_015_PSS_EE_Right,-2.249,87.394,4.76E+10,6.58E-07
VPX33234_012_PSS_NW_Left,-2.365,89.32,5.26E+10,6.43E-07
VPX33234_013_PSS_NW_Left,-2.355,89.592,5.24E+10,6.41E-07
VPX33234_014_PSS_NW_Left,-2.321,89.466,5.11E+10,6.42E-07
VPX33234_015_PSS_NW_Left,-2.335,89.269,5.15E+10,6.44E-07
VPX33234_012_PSS_WW_Right,-2.337,88.29,5.10E+10,6.51E-07
VPX33234_013_PSS_WW_Left,-2.361,87.296,5.13E+10,6.58E-07
VPX33234_013_PSS_WW_Right,-2.267,87.999,4.86E+10,6.53E-07
VPX33234_014_PSS_WW_Left,-2.327,87.058,5.00E+10,6.60E-07
VPX33234_014_PSS_WW_Right,-2.232,88.163,4.75E+10,6.52E-07
VPX33234_015_PSS_WW_Left,-2.334,87.35,5.04E+10,6.58E-07
VPX33234_015_PSS_WW_Right,-2.238,88.212,4.77E+10,6.51E-07
