Extended_Flutes_09-Nov-20_7:08:11 PM	Right_PQC1_MOSQuarter_CV	
Temperature(C)= 24.4	Humidity(%)= 6.5	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 10.000E+3	Settling_time(s) = 0.1	
		
Voltage (V)	Capacitance (F)
-5.000E+0	41.650E-12
-4.900E+0	41.070E-12
-4.800E+0	41.160E-12
-4.700E+0	41.360E-12
-4.600E+0	41.320E-12
-4.500E+0	41.590E-12
-4.400E+0	41.270E-12
-4.300E+0	41.320E-12
-4.200E+0	41.280E-12
-4.100E+0	41.500E-12
-4.000E+0	41.670E-12
-3.900E+0	41.880E-12
-3.800E+0	41.750E-12
-3.700E+0	41.840E-12
-3.600E+0	41.260E-12
-3.500E+0	41.830E-12
-3.400E+0	41.790E-12
-3.300E+0	41.500E-12
-3.200E+0	41.790E-12
-3.100E+0	41.410E-12
-3.000E+0	41.560E-12
-2.900E+0	41.500E-12
-2.800E+0	41.840E-12
-2.700E+0	41.280E-12
-2.600E+0	41.460E-12
-2.500E+0	41.280E-12
-2.400E+0	41.320E-12
-2.300E+0	41.420E-12
-2.200E+0	41.190E-12
-2.100E+0	41.390E-12
-2.000E+0	41.220E-12
-1.900E+0	41.100E-12
-1.800E+0	41.170E-12
-1.700E+0	41.270E-12
-1.600E+0	41.310E-12
-1.500E+0	41.180E-12
-1.400E+0	41.340E-12
-1.300E+0	41.410E-12
-1.200E+0	40.980E-12
-1.100E+0	41.270E-12
-1.000E+0	40.570E-12
-900.000E-3	40.930E-12
-800.000E-3	40.540E-12
-700.000E-3	40.800E-12
-600.000E-3	40.980E-12
-500.000E-3	40.670E-12
-400.000E-3	40.620E-12
-300.000E-3	40.490E-12
-200.000E-3	40.740E-12
-100.000E-3	40.300E-12
0.000E+0	40.310E-12
100.000E-3	40.030E-12
200.000E-3	40.160E-12
300.000E-3	40.250E-12
400.000E-3	40.280E-12
500.000E-3	40.420E-12
600.000E-3	40.130E-12
700.000E-3	40.050E-12
800.000E-3	39.980E-12
900.000E-3	39.810E-12
1.000E+0	39.350E-12
1.100E+0	39.260E-12
1.200E+0	38.800E-12
1.300E+0	38.820E-12
1.400E+0	38.510E-12
1.500E+0	37.750E-12
1.600E+0	37.420E-12
1.700E+0	36.100E-12
1.800E+0	34.770E-12
1.900E+0	31.490E-12
2.000E+0	27.790E-12
2.100E+0	27.250E-12
2.200E+0	28.650E-12
2.300E+0	31.580E-12
2.400E+0	37.690E-12
2.500E+0	45.290E-12
2.600E+0	53.250E-12
2.700E+0	63.140E-12
2.800E+0	69.120E-12
2.900E+0	73.840E-12
3.000E+0	77.050E-12
3.100E+0	79.690E-12
3.200E+0	81.160E-12
3.300E+0	83.200E-12
3.400E+0	84.090E-12
3.500E+0	84.390E-12
3.600E+0	85.270E-12
3.700E+0	85.990E-12
3.800E+0	85.960E-12
3.900E+0	86.640E-12
4.000E+0	86.860E-12
4.100E+0	86.940E-12
4.200E+0	87.350E-12
4.300E+0	87.210E-12
4.400E+0	87.630E-12
4.500E+0	87.600E-12
4.600E+0	87.840E-12
4.700E+0	87.860E-12
4.800E+0	88.060E-12
4.900E+0	88.030E-12
5.000E+0	88.170E-12
5.100E+0	88.310E-12
5.200E+0	88.310E-12
5.300E+0	88.330E-12
5.400E+0	88.580E-12
5.500E+0	88.590E-12
5.600E+0	88.520E-12
5.700E+0	88.540E-12
5.800E+0	88.630E-12
5.900E+0	88.580E-12
6.000E+0	88.660E-12
6.100E+0	88.900E-12
6.200E+0	89.040E-12
6.300E+0	88.830E-12
6.400E+0	88.680E-12
6.500E+0	88.910E-12
6.600E+0	88.990E-12
6.700E+0	89.180E-12
6.800E+0	88.840E-12
6.900E+0	89.040E-12
7.000E+0	89.010E-12
7.100E+0	89.120E-12
7.200E+0	89.120E-12
7.300E+0	89.080E-12
7.400E+0	88.970E-12
7.500E+0	89.260E-12
7.600E+0	89.200E-12
7.700E+0	89.190E-12
7.800E+0	89.500E-12
7.900E+0	89.350E-12
8.000E+0	89.510E-12
8.100E+0	89.120E-12
8.200E+0	89.400E-12
8.300E+0	89.280E-12
8.400E+0	89.320E-12
8.500E+0	89.290E-12
8.600E+0	89.120E-12
8.700E+0	89.700E-12
8.800E+0	89.270E-12
8.900E+0	89.370E-12
9.000E+0	89.330E-12
9.100E+0	89.480E-12
9.200E+0	89.600E-12
9.300E+0	89.450E-12
9.400E+0	89.540E-12
9.500E+0	89.730E-12
9.600E+0	89.360E-12
9.700E+0	89.360E-12
9.800E+0	89.670E-12
9.900E+0	89.730E-12
10.000E+0	89.550E-12
