Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC1_MOSQuarter_CV	
Temperature(C)= 21.7	Humidity(%)= 6.9	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 10.000E+3	Settling_time(s) = 0.1	
		
Voltage (V)	Capacitance (F)
-5.000E+0	41.660E-12
-4.900E+0	41.620E-12
-4.800E+0	42.160E-12
-4.700E+0	41.530E-12
-4.600E+0	41.680E-12
-4.500E+0	41.690E-12
-4.400E+0	41.670E-12
-4.300E+0	41.650E-12
-4.200E+0	41.800E-12
-4.100E+0	41.840E-12
-4.000E+0	42.210E-12
-3.900E+0	41.630E-12
-3.800E+0	41.900E-12
-3.700E+0	41.890E-12
-3.600E+0	41.820E-12
-3.500E+0	41.570E-12
-3.400E+0	41.660E-12
-3.300E+0	41.740E-12
-3.200E+0	41.470E-12
-3.100E+0	41.520E-12
-3.000E+0	41.660E-12
-2.900E+0	41.650E-12
-2.800E+0	41.500E-12
-2.700E+0	41.530E-12
-2.600E+0	41.700E-12
-2.500E+0	41.390E-12
-2.400E+0	41.460E-12
-2.300E+0	41.390E-12
-2.200E+0	41.390E-12
-2.100E+0	41.390E-12
-2.000E+0	41.480E-12
-1.900E+0	41.400E-12
-1.800E+0	41.010E-12
-1.700E+0	41.480E-12
-1.600E+0	41.080E-12
-1.500E+0	41.410E-12
-1.400E+0	41.460E-12
-1.300E+0	41.210E-12
-1.200E+0	41.170E-12
-1.100E+0	40.980E-12
-1.000E+0	41.040E-12
-900.000E-3	40.880E-12
-800.000E-3	41.080E-12
-700.000E-3	40.860E-12
-600.000E-3	40.670E-12
-500.000E-3	40.720E-12
-400.000E-3	40.700E-12
-300.000E-3	40.360E-12
-200.000E-3	40.740E-12
-100.000E-3	40.570E-12
0.000E+0	40.220E-12
100.000E-3	40.420E-12
200.000E-3	40.260E-12
300.000E-3	40.270E-12
400.000E-3	40.210E-12
500.000E-3	40.000E-12
600.000E-3	39.780E-12
700.000E-3	39.780E-12
800.000E-3	39.870E-12
900.000E-3	39.410E-12
1.000E+0	39.290E-12
1.100E+0	39.180E-12
1.200E+0	39.060E-12
1.300E+0	38.420E-12
1.400E+0	37.890E-12
1.500E+0	37.630E-12
1.600E+0	36.760E-12
1.700E+0	35.770E-12
1.800E+0	33.670E-12
1.900E+0	30.890E-12
2.000E+0	27.530E-12
2.100E+0	27.380E-12
2.200E+0	29.190E-12
2.300E+0	32.700E-12
2.400E+0	38.310E-12
2.500E+0	46.200E-12
2.600E+0	54.070E-12
2.700E+0	63.270E-12
2.800E+0	69.230E-12
2.900E+0	73.510E-12
3.000E+0	77.170E-12
3.100E+0	79.790E-12
3.200E+0	81.310E-12
3.300E+0	83.040E-12
3.400E+0	83.730E-12
3.500E+0	84.870E-12
3.600E+0	85.140E-12
3.700E+0	85.400E-12
3.800E+0	85.800E-12
3.900E+0	86.390E-12
4.000E+0	86.690E-12
4.100E+0	86.630E-12
4.200E+0	87.250E-12
4.300E+0	87.020E-12
4.400E+0	87.540E-12
4.500E+0	87.320E-12
4.600E+0	87.510E-12
4.700E+0	87.920E-12
4.800E+0	87.890E-12
4.900E+0	88.030E-12
5.000E+0	88.650E-12
5.100E+0	88.410E-12
5.200E+0	88.040E-12
5.300E+0	88.450E-12
5.400E+0	88.360E-12
5.500E+0	88.710E-12
5.600E+0	88.650E-12
5.700E+0	88.550E-12
5.800E+0	88.810E-12
5.900E+0	88.840E-12
6.000E+0	88.900E-12
6.100E+0	88.690E-12
6.200E+0	89.020E-12
6.300E+0	88.720E-12
6.400E+0	88.900E-12
6.500E+0	89.300E-12
6.600E+0	88.910E-12
6.700E+0	88.940E-12
6.800E+0	89.110E-12
6.900E+0	88.770E-12
7.000E+0	89.230E-12
7.100E+0	89.180E-12
7.200E+0	89.270E-12
7.300E+0	88.930E-12
7.400E+0	89.030E-12
7.500E+0	89.430E-12
7.600E+0	89.480E-12
7.700E+0	89.190E-12
7.800E+0	89.360E-12
7.900E+0	89.410E-12
8.000E+0	89.630E-12
8.100E+0	89.320E-12
8.200E+0	89.360E-12
8.300E+0	89.550E-12
8.400E+0	89.470E-12
8.500E+0	89.300E-12
8.600E+0	89.340E-12
8.700E+0	89.600E-12
8.800E+0	89.430E-12
8.900E+0	89.450E-12
9.000E+0	89.320E-12
9.100E+0	89.620E-12
9.200E+0	89.600E-12
9.300E+0	89.490E-12
9.400E+0	89.580E-12
9.500E+0	89.490E-12
9.600E+0	89.460E-12
9.700E+0	89.700E-12
9.800E+0	89.710E-12
9.900E+0	89.680E-12
10.000E+0	89.810E-12
