Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC1_MOSQuarter_CV	
Temperature(C)= 19.5	Humidity(%)= 8.8	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 10.000E+3	Settling_time(s) = 0.1	
		
Voltage (V)	Capacitance (F)
-5.000E+0	40.530E-12
-4.900E+0	40.850E-12
-4.800E+0	40.510E-12
-4.700E+0	40.470E-12
-4.600E+0	41.050E-12
-4.500E+0	41.080E-12
-4.400E+0	40.730E-12
-4.300E+0	40.880E-12
-4.200E+0	40.700E-12
-4.100E+0	40.810E-12
-4.000E+0	40.440E-12
-3.900E+0	40.990E-12
-3.800E+0	40.500E-12
-3.700E+0	40.550E-12
-3.600E+0	40.850E-12
-3.500E+0	40.730E-12
-3.400E+0	40.820E-12
-3.300E+0	40.580E-12
-3.200E+0	40.580E-12
-3.100E+0	40.340E-12
-3.000E+0	40.790E-12
-2.900E+0	40.390E-12
-2.800E+0	40.860E-12
-2.700E+0	40.210E-12
-2.600E+0	40.450E-12
-2.500E+0	40.400E-12
-2.400E+0	40.350E-12
-2.300E+0	40.530E-12
-2.200E+0	40.310E-12
-2.100E+0	40.380E-12
-2.000E+0	40.380E-12
-1.900E+0	40.110E-12
-1.800E+0	40.520E-12
-1.700E+0	40.290E-12
-1.600E+0	40.220E-12
-1.500E+0	40.230E-12
-1.400E+0	40.300E-12
-1.300E+0	39.940E-12
-1.200E+0	39.650E-12
-1.100E+0	39.810E-12
-1.000E+0	39.770E-12
-900.000E-3	40.120E-12
-800.000E-3	39.790E-12
-700.000E-3	39.900E-12
-600.000E-3	39.680E-12
-500.000E-3	39.430E-12
-400.000E-3	39.350E-12
-300.000E-3	39.530E-12
-200.000E-3	39.380E-12
-100.000E-3	39.180E-12
0.000E+0	38.870E-12
100.000E-3	39.270E-12
200.000E-3	38.740E-12
300.000E-3	38.990E-12
400.000E-3	38.780E-12
500.000E-3	38.540E-12
600.000E-3	38.500E-12
700.000E-3	38.260E-12
800.000E-3	37.950E-12
900.000E-3	38.000E-12
1.000E+0	37.650E-12
1.100E+0	37.230E-12
1.200E+0	36.930E-12
1.300E+0	35.890E-12
1.400E+0	35.090E-12
1.500E+0	33.780E-12
1.600E+0	31.380E-12
1.700E+0	28.030E-12
1.800E+0	26.430E-12
1.900E+0	26.650E-12
2.000E+0	29.860E-12
2.100E+0	34.750E-12
2.200E+0	42.430E-12
2.300E+0	50.600E-12
2.400E+0	58.700E-12
2.500E+0	65.350E-12
2.600E+0	70.870E-12
2.700E+0	76.140E-12
2.800E+0	79.560E-12
2.900E+0	81.000E-12
3.000E+0	82.230E-12
3.100E+0	83.600E-12
3.200E+0	84.140E-12
3.300E+0	85.040E-12
3.400E+0	85.600E-12
3.500E+0	85.570E-12
3.600E+0	85.920E-12
3.700E+0	86.660E-12
3.800E+0	86.780E-12
3.900E+0	86.840E-12
4.000E+0	87.210E-12
4.100E+0	87.250E-12
4.200E+0	87.320E-12
4.300E+0	87.580E-12
4.400E+0	87.740E-12
4.500E+0	88.010E-12
4.600E+0	88.040E-12
4.700E+0	87.910E-12
4.800E+0	88.050E-12
4.900E+0	87.910E-12
5.000E+0	88.480E-12
5.100E+0	88.260E-12
5.200E+0	88.330E-12
5.300E+0	88.600E-12
5.400E+0	88.370E-12
5.500E+0	88.620E-12
5.600E+0	88.340E-12
5.700E+0	89.040E-12
5.800E+0	88.720E-12
5.900E+0	88.780E-12
6.000E+0	88.590E-12
6.100E+0	88.730E-12
6.200E+0	88.640E-12
6.300E+0	88.480E-12
6.400E+0	88.950E-12
6.500E+0	88.810E-12
6.600E+0	88.910E-12
6.700E+0	89.070E-12
6.800E+0	88.880E-12
6.900E+0	89.440E-12
7.000E+0	89.270E-12
7.100E+0	88.990E-12
7.200E+0	89.130E-12
7.300E+0	89.300E-12
7.400E+0	89.230E-12
7.500E+0	89.110E-12
7.600E+0	88.960E-12
7.700E+0	89.160E-12
7.800E+0	88.720E-12
7.900E+0	89.550E-12
8.000E+0	89.620E-12
8.100E+0	89.230E-12
8.200E+0	89.270E-12
8.300E+0	88.990E-12
8.400E+0	89.160E-12
8.500E+0	88.610E-12
8.600E+0	89.220E-12
8.700E+0	89.310E-12
8.800E+0	89.340E-12
8.900E+0	89.490E-12
9.000E+0	88.960E-12
9.100E+0	89.550E-12
9.200E+0	89.170E-12
9.300E+0	89.310E-12
9.400E+0	89.270E-12
9.500E+0	89.370E-12
9.600E+0	89.670E-12
9.700E+0	89.470E-12
9.800E+0	89.570E-12
9.900E+0	89.360E-12
10.000E+0	89.460E-12
