Custom_Flutes_13-Nov-20_5:34:16 PM	Left_PQC1_FETPSs_trans	
Temperature(C)= 24.0	Humidity(%)= 16.6	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	1.039E-12
-4.900E+0	1.473E-12
-4.800E+0	1.543E-12
-4.700E+0	1.556E-12
-4.600E+0	1.558E-12
-4.500E+0	1.551E-12
-4.400E+0	1.550E-12
-4.300E+0	1.552E-12
-4.200E+0	1.547E-12
-4.100E+0	1.560E-12
-4.000E+0	1.555E-12
-3.900E+0	1.556E-12
-3.800E+0	1.558E-12
-3.700E+0	1.560E-12
-3.600E+0	1.561E-12
-3.500E+0	1.568E-12
-3.400E+0	1.571E-12
-3.300E+0	1.573E-12
-3.200E+0	1.581E-12
-3.100E+0	1.585E-12
-3.000E+0	1.598E-12
-2.900E+0	1.614E-12
-2.800E+0	1.634E-12
-2.700E+0	1.667E-12
-2.600E+0	1.733E-12
-2.500E+0	1.847E-12
-2.400E+0	2.063E-12
-2.300E+0	2.323E-12
-2.200E+0	2.509E-12
-2.100E+0	2.644E-12
-2.000E+0	2.733E-12
-1.900E+0	2.821E-12
-1.800E+0	2.859E-12
-1.700E+0	2.878E-12
-1.600E+0	2.871E-12
-1.500E+0	2.847E-12
-1.400E+0	2.806E-12
-1.300E+0	2.764E-12
-1.200E+0	2.728E-12
-1.100E+0	2.712E-12
-1.000E+0	2.694E-12
-900.000E-3	2.686E-12
-800.000E-3	2.686E-12
-700.000E-3	2.682E-12
-600.000E-3	2.687E-12
-500.000E-3	2.687E-12
-400.000E-3	2.685E-12
-300.000E-3	2.688E-12
-200.000E-3	2.686E-12
-100.000E-3	2.684E-12
0.000E+0	2.708E-12
100.000E-3	2.699E-12
200.000E-3	2.684E-12
300.000E-3	2.691E-12
400.000E-3	2.695E-12
500.000E-3	2.686E-12
600.000E-3	2.684E-12
700.000E-3	2.682E-12
800.000E-3	2.683E-12
900.000E-3	2.684E-12
1.000E+0	2.682E-12
1.100E+0	2.678E-12
1.200E+0	2.669E-12
1.300E+0	2.677E-12
1.400E+0	2.682E-12
1.500E+0	2.686E-12
1.600E+0	2.694E-12
1.700E+0	2.711E-12
1.800E+0	2.723E-12
1.900E+0	2.745E-12
2.000E+0	2.798E-12
2.100E+0	2.885E-12
2.200E+0	3.011E-12
2.300E+0	3.244E-12
2.400E+0	3.660E-12
2.500E+0	4.481E-12
2.600E+0	6.241E-12
2.700E+0	10.409E-12
2.800E+0	22.434E-12
2.900E+0	53.476E-12
3.000E+0	137.119E-12
3.100E+0	973.173E-12
3.200E+0	1.343E-9
3.300E+0	3.533E-9
3.400E+0	8.638E-9
3.500E+0	19.530E-9
3.600E+0	40.588E-9
3.700E+0	78.202E-9
3.800E+0	140.451E-9
3.900E+0	234.216E-9
4.000E+0	370.150E-9
4.100E+0	553.281E-9
4.200E+0	782.924E-9
4.300E+0	1.053E-6
4.400E+0	1.353E-6
4.500E+0	1.667E-6
4.600E+0	1.984E-6
4.700E+0	2.288E-6
4.800E+0	2.582E-6
4.900E+0	2.858E-6
5.000E+0	3.116E-6
5.100E+0	3.360E-6
5.200E+0	3.584E-6
5.300E+0	3.795E-6
5.400E+0	3.994E-6
5.500E+0	4.181E-6
5.600E+0	4.360E-6
5.700E+0	4.524E-6
5.800E+0	4.682E-6
5.900E+0	4.833E-6
6.000E+0	4.976E-6
6.100E+0	5.111E-6
6.200E+0	5.240E-6
6.300E+0	5.367E-6
6.400E+0	5.483E-6
6.500E+0	5.605E-6
6.600E+0	5.714E-6
6.700E+0	5.818E-6
6.800E+0	5.928E-6
6.900E+0	6.025E-6
7.000E+0	6.125E-6
7.100E+0	6.234E-6
7.200E+0	6.322E-6
7.300E+0	6.414E-6
7.400E+0	6.508E-6
7.500E+0	6.597E-6
7.600E+0	6.685E-6
7.700E+0	6.774E-6
7.800E+0	6.858E-6
7.900E+0	6.925E-6
8.000E+0	7.001E-6
8.100E+0	7.079E-6
8.200E+0	7.146E-6
8.300E+0	7.211E-6
8.400E+0	7.276E-6
8.500E+0	7.328E-6
8.600E+0	7.391E-6
8.700E+0	7.471E-6
8.800E+0	7.550E-6
8.900E+0	7.616E-6
9.000E+0	7.671E-6
9.100E+0	7.722E-6
9.200E+0	7.795E-6
9.300E+0	7.838E-6
9.400E+0	7.842E-6
9.500E+0	7.884E-6
9.600E+0	7.933E-6
9.700E+0	7.971E-6
9.800E+0	8.007E-6
9.900E+0	8.021E-6
10.000E+0	8.074E-6
