Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC1_FETPSs_trans	
Temperature(C)= 22.3	Humidity(%)= 6.7	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	798.740E-15
-4.900E+0	1.025E-12
-4.800E+0	1.053E-12
-4.700E+0	1.063E-12
-4.600E+0	1.065E-12
-4.500E+0	1.067E-12
-4.400E+0	1.060E-12
-4.300E+0	1.058E-12
-4.200E+0	1.057E-12
-4.100E+0	1.054E-12
-4.000E+0	1.056E-12
-3.900E+0	1.057E-12
-3.800E+0	1.054E-12
-3.700E+0	1.059E-12
-3.600E+0	1.057E-12
-3.500E+0	1.059E-12
-3.400E+0	1.061E-12
-3.300E+0	1.066E-12
-3.200E+0	1.067E-12
-3.100E+0	1.075E-12
-3.000E+0	1.081E-12
-2.900E+0	1.092E-12
-2.800E+0	1.104E-12
-2.700E+0	1.139E-12
-2.600E+0	1.188E-12
-2.500E+0	1.283E-12
-2.400E+0	1.455E-12
-2.300E+0	1.626E-12
-2.200E+0	1.732E-12
-2.100E+0	1.803E-12
-2.000E+0	1.853E-12
-1.900E+0	1.889E-12
-1.800E+0	1.913E-12
-1.700E+0	1.928E-12
-1.600E+0	1.927E-12
-1.500E+0	1.917E-12
-1.400E+0	1.899E-12
-1.300E+0	1.889E-12
-1.200E+0	1.880E-12
-1.100E+0	1.876E-12
-1.000E+0	1.871E-12
-900.000E-3	1.864E-12
-800.000E-3	1.868E-12
-700.000E-3	1.862E-12
-600.000E-3	1.863E-12
-500.000E-3	1.866E-12
-400.000E-3	1.862E-12
-300.000E-3	1.860E-12
-200.000E-3	1.863E-12
-100.000E-3	1.859E-12
0.000E+0	1.877E-12
100.000E-3	1.862E-12
200.000E-3	1.865E-12
300.000E-3	1.868E-12
400.000E-3	1.869E-12
500.000E-3	1.865E-12
600.000E-3	1.868E-12
700.000E-3	1.866E-12
800.000E-3	1.869E-12
900.000E-3	1.873E-12
1.000E+0	1.873E-12
1.100E+0	1.868E-12
1.200E+0	1.871E-12
1.300E+0	1.871E-12
1.400E+0	1.875E-12
1.500E+0	1.879E-12
1.600E+0	1.888E-12
1.700E+0	1.893E-12
1.800E+0	1.900E-12
1.900E+0	1.918E-12
2.000E+0	1.944E-12
2.100E+0	1.995E-12
2.200E+0	2.061E-12
2.300E+0	2.183E-12
2.400E+0	2.400E-12
2.500E+0	2.962E-12
2.600E+0	4.292E-12
2.700E+0	7.903E-12
2.800E+0	18.401E-12
2.900E+0	51.028E-12
3.000E+0	141.487E-12
3.100E+0	1.022E-9
3.200E+0	1.520E-9
3.300E+0	4.023E-9
3.400E+0	9.852E-9
3.500E+0	22.231E-9
3.600E+0	46.007E-9
3.700E+0	88.550E-9
3.800E+0	158.963E-9
3.900E+0	264.822E-9
4.000E+0	417.493E-9
4.100E+0	621.566E-9
4.200E+0	874.556E-9
4.300E+0	1.166E-6
4.400E+0	1.485E-6
4.500E+0	1.812E-6
4.600E+0	2.133E-6
4.700E+0	2.443E-6
4.800E+0	2.736E-6
4.900E+0	3.006E-6
5.000E+0	3.258E-6
5.100E+0	3.493E-6
5.200E+0	3.710E-6
5.300E+0	3.913E-6
5.400E+0	4.104E-6
5.500E+0	4.282E-6
5.600E+0	4.451E-6
5.700E+0	4.608E-6
5.800E+0	4.761E-6
5.900E+0	4.905E-6
6.000E+0	5.045E-6
6.100E+0	5.175E-6
6.200E+0	5.304E-6
6.300E+0	5.421E-6
6.400E+0	5.545E-6
6.500E+0	5.657E-6
6.600E+0	5.766E-6
6.700E+0	5.874E-6
6.800E+0	5.980E-6
6.900E+0	6.079E-6
7.000E+0	6.181E-6
7.100E+0	6.280E-6
7.200E+0	6.376E-6
7.300E+0	6.470E-6
7.400E+0	6.564E-6
7.500E+0	6.657E-6
7.600E+0	6.743E-6
7.700E+0	6.829E-6
7.800E+0	6.913E-6
7.900E+0	6.999E-6
8.000E+0	7.075E-6
8.100E+0	7.158E-6
8.200E+0	7.251E-6
8.300E+0	7.327E-6
8.400E+0	7.401E-6
8.500E+0	7.475E-6
8.600E+0	7.552E-6
8.700E+0	7.624E-6
8.800E+0	7.699E-6
8.900E+0	7.778E-6
9.000E+0	7.847E-6
9.100E+0	7.916E-6
9.200E+0	7.989E-6
9.300E+0	8.061E-6
9.400E+0	8.126E-6
9.500E+0	8.197E-6
9.600E+0	8.261E-6
9.700E+0	8.332E-6
9.800E+0	8.399E-6
9.900E+0	8.464E-6
10.000E+0	8.527E-6
