Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC1_FETPSs_trans	
Temperature(C)= 22.9	Humidity(%)= 16.9	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	928.080E-15
-4.900E+0	1.174E-12
-4.800E+0	1.204E-12
-4.700E+0	1.205E-12
-4.600E+0	1.198E-12
-4.500E+0	1.189E-12
-4.400E+0	1.188E-12
-4.300E+0	1.183E-12
-4.200E+0	1.178E-12
-4.100E+0	1.174E-12
-4.000E+0	1.167E-12
-3.900E+0	1.165E-12
-3.800E+0	1.166E-12
-3.700E+0	1.167E-12
-3.600E+0	1.167E-12
-3.500E+0	1.167E-12
-3.400E+0	1.168E-12
-3.300E+0	1.167E-12
-3.200E+0	1.172E-12
-3.100E+0	1.176E-12
-3.000E+0	1.184E-12
-2.900E+0	1.192E-12
-2.800E+0	1.205E-12
-2.700E+0	1.222E-12
-2.600E+0	1.270E-12
-2.500E+0	1.347E-12
-2.400E+0	1.497E-12
-2.300E+0	1.674E-12
-2.200E+0	1.803E-12
-2.100E+0	1.873E-12
-2.000E+0	1.918E-12
-1.900E+0	1.969E-12
-1.800E+0	2.003E-12
-1.700E+0	2.021E-12
-1.600E+0	2.020E-12
-1.500E+0	2.006E-12
-1.400E+0	1.994E-12
-1.300E+0	1.983E-12
-1.200E+0	1.967E-12
-1.100E+0	1.959E-12
-1.000E+0	1.957E-12
-900.000E-3	1.951E-12
-800.000E-3	1.953E-12
-700.000E-3	1.951E-12
-600.000E-3	1.943E-12
-500.000E-3	1.948E-12
-400.000E-3	1.947E-12
-300.000E-3	1.949E-12
-200.000E-3	1.945E-12
-100.000E-3	1.945E-12
0.000E+0	1.958E-12
100.000E-3	1.948E-12
200.000E-3	1.948E-12
300.000E-3	1.944E-12
400.000E-3	1.946E-12
500.000E-3	1.944E-12
600.000E-3	1.943E-12
700.000E-3	1.944E-12
800.000E-3	1.946E-12
900.000E-3	1.946E-12
1.000E+0	1.947E-12
1.100E+0	1.942E-12
1.200E+0	1.949E-12
1.300E+0	1.943E-12
1.400E+0	1.950E-12
1.500E+0	1.951E-12
1.600E+0	1.953E-12
1.700E+0	1.962E-12
1.800E+0	1.968E-12
1.900E+0	1.983E-12
2.000E+0	2.008E-12
2.100E+0	2.041E-12
2.200E+0	2.093E-12
2.300E+0	2.209E-12
2.400E+0	2.447E-12
2.500E+0	3.019E-12
2.600E+0	4.606E-12
2.700E+0	9.226E-12
2.800E+0	24.978E-12
2.900E+0	69.184E-12
3.000E+0	189.172E-12
3.100E+0	733.842E-12
3.200E+0	2.050E-9
3.300E+0	5.309E-9
3.400E+0	12.661E-9
3.500E+0	27.829E-9
3.600E+0	56.172E-9
3.700E+0	105.585E-9
3.800E+0	185.699E-9
3.900E+0	302.953E-9
4.000E+0	469.017E-9
4.100E+0	686.695E-9
4.200E+0	952.013E-9
4.300E+0	1.255E-6
4.400E+0	1.582E-6
4.500E+0	1.916E-6
4.600E+0	2.246E-6
4.700E+0	2.563E-6
4.800E+0	2.863E-6
4.900E+0	3.144E-6
5.000E+0	3.409E-6
5.100E+0	3.654E-6
5.200E+0	3.883E-6
5.300E+0	4.098E-6
5.400E+0	4.302E-6
5.500E+0	4.495E-6
5.600E+0	4.677E-6
5.700E+0	4.848E-6
5.800E+0	5.016E-6
5.900E+0	5.173E-6
6.000E+0	5.326E-6
6.100E+0	5.475E-6
6.200E+0	5.615E-6
6.300E+0	5.751E-6
6.400E+0	5.884E-6
6.500E+0	6.014E-6
6.600E+0	6.138E-6
6.700E+0	6.261E-6
6.800E+0	6.376E-6
6.900E+0	6.492E-6
7.000E+0	6.602E-6
7.100E+0	6.716E-6
7.200E+0	6.823E-6
7.300E+0	6.932E-6
7.400E+0	7.035E-6
7.500E+0	7.136E-6
7.600E+0	7.238E-6
7.700E+0	7.339E-6
7.800E+0	7.436E-6
7.900E+0	7.533E-6
8.000E+0	7.628E-6
8.100E+0	7.724E-6
8.200E+0	7.814E-6
8.300E+0	7.901E-6
8.400E+0	7.993E-6
8.500E+0	8.084E-6
8.600E+0	8.171E-6
8.700E+0	8.254E-6
8.800E+0	8.338E-6
8.900E+0	8.427E-6
9.000E+0	8.510E-6
9.100E+0	8.590E-6
9.200E+0	8.674E-6
9.300E+0	8.759E-6
9.400E+0	8.841E-6
9.500E+0	8.918E-6
9.600E+0	9.000E-6
