Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC1_FETPSs_trans	
Temperature(C)= 21.7	Humidity(%)= 7.0	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	899.480E-15
-4.900E+0	889.940E-15
-4.800E+0	889.840E-15
-4.700E+0	904.730E-15
-4.600E+0	911.090E-15
-4.500E+0	922.160E-15
-4.400E+0	924.040E-15
-4.300E+0	929.970E-15
-4.200E+0	937.180E-15
-4.100E+0	946.140E-15
-4.000E+0	954.220E-15
-3.900E+0	953.660E-15
-3.800E+0	957.720E-15
-3.700E+0	958.110E-15
-3.600E+0	964.820E-15
-3.500E+0	974.620E-15
-3.400E+0	979.530E-15
-3.300E+0	989.900E-15
-3.200E+0	995.840E-15
-3.100E+0	1.006E-12
-3.000E+0	1.008E-12
-2.900E+0	1.025E-12
-2.800E+0	1.053E-12
-2.700E+0	1.086E-12
-2.600E+0	1.154E-12
-2.500E+0	1.276E-12
-2.400E+0	1.472E-12
-2.300E+0	1.642E-12
-2.200E+0	1.760E-12
-2.100E+0	1.819E-12
-2.000E+0	1.865E-12
-1.900E+0	1.905E-12
-1.800E+0	1.928E-12
-1.700E+0	1.932E-12
-1.600E+0	1.925E-12
-1.500E+0	1.907E-12
-1.400E+0	1.893E-12
-1.300E+0	1.879E-12
-1.200E+0	1.875E-12
-1.100E+0	1.876E-12
-1.000E+0	1.872E-12
-900.000E-3	1.867E-12
-800.000E-3	1.864E-12
-700.000E-3	1.860E-12
-600.000E-3	1.863E-12
-500.000E-3	1.867E-12
-400.000E-3	1.868E-12
-300.000E-3	1.870E-12
-200.000E-3	1.871E-12
-100.000E-3	1.872E-12
0.000E+0	1.884E-12
100.000E-3	1.877E-12
200.000E-3	1.876E-12
300.000E-3	1.876E-12
400.000E-3	1.877E-12
500.000E-3	1.875E-12
600.000E-3	1.883E-12
700.000E-3	1.884E-12
800.000E-3	1.882E-12
900.000E-3	1.879E-12
1.000E+0	1.880E-12
1.100E+0	1.880E-12
1.200E+0	1.886E-12
1.300E+0	1.891E-12
1.400E+0	1.897E-12
1.500E+0	1.906E-12
1.600E+0	1.917E-12
1.700E+0	1.945E-12
1.800E+0	1.981E-12
1.900E+0	2.032E-12
2.000E+0	2.119E-12
2.100E+0	2.281E-12
2.200E+0	2.538E-12
2.300E+0	2.998E-12
2.400E+0	3.803E-12
2.500E+0	5.443E-12
2.600E+0	8.862E-12
2.700E+0	16.757E-12
2.800E+0	39.111E-12
2.900E+0	93.296E-12
3.000E+0	757.936E-12
3.100E+0	825.162E-12
3.200E+0	2.213E-9
3.300E+0	5.582E-9
3.400E+0	13.140E-9
3.500E+0	28.595E-9
3.600E+0	57.427E-9
3.700E+0	107.892E-9
3.800E+0	189.553E-9
3.900E+0	309.665E-9
4.000E+0	479.675E-9
4.100E+0	702.446E-9
4.200E+0	973.753E-9
4.300E+0	1.282E-6
4.400E+0	1.615E-6
4.500E+0	1.954E-6
4.600E+0	2.286E-6
4.700E+0	2.608E-6
4.800E+0	2.911E-6
4.900E+0	3.195E-6
5.000E+0	3.461E-6
5.100E+0	3.711E-6
5.200E+0	3.943E-6
5.300E+0	4.161E-6
5.400E+0	4.367E-6
5.500E+0	4.563E-6
5.600E+0	4.748E-6
5.700E+0	4.924E-6
5.800E+0	5.093E-6
5.900E+0	5.257E-6
6.000E+0	5.412E-6
6.100E+0	5.558E-6
6.200E+0	5.702E-6
6.300E+0	5.841E-6
6.400E+0	5.976E-6
6.500E+0	6.108E-6
6.600E+0	6.237E-6
6.700E+0	6.363E-6
6.800E+0	6.484E-6
6.900E+0	6.603E-6
7.000E+0	6.720E-6
7.100E+0	6.838E-6
7.200E+0	6.950E-6
7.300E+0	7.061E-6
7.400E+0	7.168E-6
7.500E+0	7.273E-6
7.600E+0	7.379E-6
7.700E+0	7.480E-6
7.800E+0	7.581E-6
7.900E+0	7.682E-6
8.000E+0	7.781E-6
8.100E+0	7.879E-6
8.200E+0	7.972E-6
8.300E+0	8.066E-6
8.400E+0	8.162E-6
8.500E+0	8.253E-6
8.600E+0	8.345E-6
8.700E+0	8.437E-6
8.800E+0	8.526E-6
8.900E+0	8.616E-6
9.000E+0	8.704E-6
9.100E+0	8.789E-6
9.200E+0	8.879E-6
9.300E+0	8.963E-6
9.400E+0	9.048E-6
