Custom_Flutes_13-Nov-20_4:39:08 PM	Left_PQC1_VDPPoly_r
Temperature(C)= 23.7	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.050E-3
-9.500E-6	-5.030E-3
-9.000E-6	-4.930E-3
-8.500E-6	-4.750E-3
-8.000E-6	-4.480E-3
-7.500E-6	-4.230E-3
-7.000E-6	-3.980E-3
-6.500E-6	-3.750E-3
-6.000E-6	-3.500E-3
-5.500E-6	-3.240E-3
-5.000E-6	-3.090E-3
-4.500E-6	-2.810E-3
-4.000E-6	-2.540E-3
-3.500E-6	-2.360E-3
-3.000E-6	-2.050E-3
-2.500E-6	-1.780E-3
-2.000E-6	-1.500E-3
-1.500E-6	-1.330E-3
-1.000E-6	-1.050E-3
-500.000E-9	-770.000E-6
-1.694E-21	-460.000E-6
500.000E-9	-270.000E-6
1.000E-6	10.000E-6
1.500E-6	290.000E-6
2.000E-6	540.000E-6
2.500E-6	790.000E-6
3.000E-6	1.040E-3
3.500E-6	1.290E-3
4.000E-6	1.550E-3
4.500E-6	1.810E-3
5.000E-6	1.950E-3
5.500E-6	2.240E-3
6.000E-6	2.520E-3
6.500E-6	2.800E-3
7.000E-6	3.070E-3
7.500E-6	3.220E-3
8.000E-6	3.490E-3
8.500E-6	3.770E-3
9.000E-6	4.050E-3
9.500E-6	4.320E-3
10.000E-6	4.570E-3
