Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC1_VDPPoly_r
Temperature(C)= 20.4	Humidity(%)= 25.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.030E-3
-9.500E-6	-4.980E-3
-9.000E-6	-4.860E-3
-8.500E-6	-4.550E-3
-8.000E-6	-4.360E-3
-7.500E-6	-4.140E-3
-7.000E-6	-4.070E-3
-6.500E-6	-3.840E-3
-6.000E-6	-3.560E-3
-5.500E-6	-3.330E-3
-5.000E-6	-3.090E-3
-4.500E-6	-2.760E-3
-4.000E-6	-2.570E-3
-3.500E-6	-2.330E-3
-3.000E-6	-2.250E-3
-2.500E-6	-1.840E-3
-2.000E-6	-1.530E-3
-1.500E-6	-1.250E-3
-1.000E-6	-1.100E-3
-500.000E-9	-970.000E-6
-1.694E-21	-570.000E-6
500.000E-9	-190.000E-6
1.000E-6	210.000E-6
1.500E-6	400.000E-6
2.000E-6	690.000E-6
2.500E-6	970.000E-6
3.000E-6	1.230E-3
3.500E-6	1.510E-3
4.000E-6	1.780E-3
4.500E-6	1.940E-3
5.000E-6	2.210E-3
5.500E-6	2.390E-3
6.000E-6	2.680E-3
6.500E-6	2.980E-3
7.000E-6	3.260E-3
7.500E-6	3.570E-3
8.000E-6	3.820E-3
8.500E-6	4.070E-3
9.000E-6	4.300E-3
9.500E-6	4.560E-3
10.000E-6	4.810E-3
