Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC1_VDPPoly_s
Temperature(C)= 21.8	Humidity(%)= 25.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.100E-3
-9.500E-6	-5.070E-3
-9.000E-6	-4.960E-3
-8.500E-6	-4.780E-3
-8.000E-6	-4.530E-3
-7.500E-6	-4.280E-3
-7.000E-6	-4.020E-3
-6.500E-6	-3.760E-3
-6.000E-6	-3.500E-3
-5.500E-6	-3.250E-3
-5.000E-6	-3.000E-3
-4.500E-6	-2.750E-3
-4.000E-6	-2.490E-3
-3.500E-6	-2.230E-3
-3.000E-6	-1.980E-3
-2.500E-6	-1.720E-3
-2.000E-6	-1.460E-3
-1.500E-6	-1.200E-3
-1.000E-6	-950.000E-6
-500.000E-9	-700.000E-6
-1.694E-21	-440.000E-6
500.000E-9	-190.000E-6
1.000E-6	60.000E-6
1.500E-6	310.000E-6
2.000E-6	570.000E-6
2.500E-6	820.000E-6
3.000E-6	1.070E-3
3.500E-6	1.320E-3
4.000E-6	1.570E-3
4.500E-6	1.830E-3
5.000E-6	2.090E-3
5.500E-6	2.350E-3
6.000E-6	2.600E-3
6.500E-6	2.860E-3
7.000E-6	3.120E-3
7.500E-6	3.370E-3
8.000E-6	3.630E-3
8.500E-6	3.880E-3
9.000E-6	4.140E-3
9.500E-6	4.390E-3
10.000E-6	4.650E-3
