Custom_Flutes_23-Nov-20_11:47:41 AM	Left_PQC1_VDPPoly_r
Temperature(C)= 20.2	Humidity(%)= 17.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.130E-3
-9.500E-6	-5.090E-3
-9.000E-6	-4.970E-3
-8.500E-6	-4.860E-3
-8.000E-6	-4.650E-3
-7.500E-6	-4.340E-3
-7.000E-6	-4.040E-3
-6.500E-6	-3.760E-3
-6.000E-6	-3.480E-3
-5.500E-6	-3.230E-3
-5.000E-6	-2.960E-3
-4.500E-6	-2.700E-3
-4.000E-6	-2.530E-3
-3.500E-6	-2.250E-3
-3.000E-6	-1.970E-3
-2.500E-6	-1.690E-3
-2.000E-6	-1.410E-3
-1.500E-6	-1.150E-3
-1.000E-6	-1.010E-3
-500.000E-9	-720.000E-6
-1.694E-21	-410.000E-6
500.000E-9	-90.000E-6
1.000E-6	210.000E-6
1.500E-6	450.000E-6
2.000E-6	700.000E-6
2.500E-6	960.000E-6
3.000E-6	1.200E-3
3.500E-6	1.460E-3
4.000E-6	1.720E-3
4.500E-6	1.970E-3
5.000E-6	2.240E-3
5.500E-6	2.490E-3
6.000E-6	2.750E-3
6.500E-6	3.010E-3
7.000E-6	3.270E-3
7.500E-6	3.530E-3
8.000E-6	3.800E-3
8.500E-6	4.050E-3
9.000E-6	4.310E-3
9.500E-6	4.470E-3
10.000E-6	4.750E-3
