Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC1_VDPPoly_r
Temperature(C)= 19.4	Humidity(%)= 7.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.040E-3
-9.500E-6	-5.010E-3
-9.000E-6	-4.960E-3
-8.500E-6	-4.780E-3
-8.000E-6	-4.530E-3
-7.500E-6	-4.250E-3
-7.000E-6	-3.980E-3
-6.500E-6	-3.720E-3
-6.000E-6	-3.470E-3
-5.500E-6	-3.320E-3
-5.000E-6	-3.040E-3
-4.500E-6	-2.770E-3
-4.000E-6	-2.490E-3
-3.500E-6	-2.210E-3
-3.000E-6	-1.960E-3
-2.500E-6	-1.710E-3
-2.000E-6	-1.460E-3
-1.500E-6	-1.200E-3
-1.000E-6	-950.000E-6
-500.000E-9	-700.000E-6
-1.694E-21	-450.000E-6
500.000E-9	-190.000E-6
1.000E-6	50.000E-6
1.500E-6	300.000E-6
2.000E-6	450.000E-6
2.500E-6	730.000E-6
3.000E-6	1.000E-3
3.500E-6	1.280E-3
4.000E-6	1.560E-3
4.500E-6	1.810E-3
5.000E-6	1.960E-3
5.500E-6	2.240E-3
6.000E-6	2.420E-3
6.500E-6	2.720E-3
7.000E-6	3.020E-3
7.500E-6	3.300E-3
8.000E-6	3.570E-3
8.500E-6	3.730E-3
9.000E-6	4.000E-3
9.500E-6	4.280E-3
10.000E-6	4.560E-3
