Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC1_VDPPoly_r
Temperature(C)= 22.2	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.060E-3
-9.500E-6	-5.040E-3
-9.000E-6	-4.940E-3
-8.500E-6	-4.760E-3
-8.000E-6	-4.510E-3
-7.500E-6	-4.250E-3
-7.000E-6	-4.000E-3
-6.500E-6	-3.740E-3
-6.000E-6	-3.490E-3
-5.500E-6	-3.240E-3
-5.000E-6	-2.980E-3
-4.500E-6	-2.730E-3
-4.000E-6	-2.480E-3
-3.500E-6	-2.230E-3
-3.000E-6	-1.970E-3
-2.500E-6	-1.720E-3
-2.000E-6	-1.470E-3
-1.500E-6	-1.220E-3
-1.000E-6	-960.000E-6
-500.000E-9	-710.000E-6
-1.694E-21	-460.000E-6
500.000E-9	-310.000E-6
1.000E-6	-30.000E-6
1.500E-6	240.000E-6
2.000E-6	520.000E-6
2.500E-6	800.000E-6
3.000E-6	1.050E-3
3.500E-6	1.310E-3
4.000E-6	1.560E-3
4.500E-6	1.810E-3
5.000E-6	2.070E-3
5.500E-6	2.320E-3
6.000E-6	2.570E-3
6.500E-6	2.830E-3
7.000E-6	3.080E-3
7.500E-6	3.230E-3
8.000E-6	3.410E-3
8.500E-6	3.710E-3
9.000E-6	4.020E-3
9.500E-6	4.220E-3
10.000E-6	4.420E-3
