Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC1_VDPPoly_s
Temperature(C)= 22.2	Humidity(%)= 7.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.090E-3
-9.500E-6	-5.090E-3
-9.000E-6	-4.990E-3
-8.500E-6	-4.880E-3
-8.000E-6	-4.630E-3
-7.500E-6	-4.320E-3
-7.000E-6	-4.040E-3
-6.500E-6	-3.760E-3
-6.000E-6	-3.510E-3
-5.500E-6	-3.250E-3
-5.000E-6	-3.000E-3
-4.500E-6	-2.740E-3
-4.000E-6	-2.480E-3
-3.500E-6	-2.330E-3
-3.000E-6	-2.050E-3
-2.500E-6	-1.770E-3
-2.000E-6	-1.490E-3
-1.500E-6	-1.310E-3
-1.000E-6	-1.030E-3
-500.000E-9	-750.000E-6
-1.694E-21	-470.000E-6
500.000E-9	-290.000E-6
1.000E-6	-10.000E-6
1.500E-6	260.000E-6
2.000E-6	540.000E-6
2.500E-6	720.000E-6
3.000E-6	1.000E-3
3.500E-6	1.280E-3
4.000E-6	1.460E-3
4.500E-6	1.770E-3
5.000E-6	1.940E-3
5.500E-6	2.250E-3
6.000E-6	2.450E-3
6.500E-6	2.760E-3
7.000E-6	3.070E-3
7.500E-6	3.350E-3
8.000E-6	3.630E-3
8.500E-6	3.890E-3
9.000E-6	4.140E-3
9.500E-6	4.290E-3
10.000E-6	4.570E-3
