Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC1_VDPStop_r
Temperature(C)= 21.6	Humidity(%)= 21.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.100E-3
-950.000E-9	-4.000E-3
-900.000E-9	-3.910E-3
-850.000E-9	-3.880E-3
-800.000E-9	-3.610E-3
-750.000E-9	-3.370E-3
-700.000E-9	-3.140E-3
-650.000E-9	-2.910E-3
-600.000E-9	-2.700E-3
-550.000E-9	-2.510E-3
-500.000E-9	-2.380E-3
-450.000E-9	-2.200E-3
-400.000E-9	-2.020E-3
-350.000E-9	-1.800E-3
-300.000E-9	-1.590E-3
-250.000E-9	-1.390E-3
-200.000E-9	-1.160E-3
-150.000E-9	-950.000E-6
-100.000E-9	-730.000E-6
-50.000E-9	-530.000E-6
0.000E+0	-310.000E-6
50.000E-9	-100.000E-6
100.000E-9	90.000E-6
150.000E-9	300.000E-6
200.000E-9	490.000E-6
250.000E-9	700.000E-6
300.000E-9	900.000E-6
350.000E-9	1.080E-3
400.000E-9	1.260E-3
450.000E-9	1.520E-3
500.000E-9	1.730E-3
550.000E-9	1.990E-3
600.000E-9	2.190E-3
650.000E-9	2.490E-3
700.000E-9	2.800E-3
750.000E-9	2.950E-3
800.000E-9	3.020E-3
850.000E-9	3.160E-3
900.000E-9	3.210E-3
950.000E-9	3.320E-3
1.000E-6	3.490E-3
