Custom_Flutes_23-Nov-20_5:31:46 PM	Left_PQC1_VDPStop_r
Temperature(C)= 22.1	Humidity(%)= 21.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.230E-3
-950.000E-9	-4.210E-3
-900.000E-9	-4.130E-3
-850.000E-9	-3.990E-3
-800.000E-9	-3.770E-3
-750.000E-9	-3.550E-3
-700.000E-9	-3.420E-3
-650.000E-9	-3.180E-3
-600.000E-9	-2.960E-3
-550.000E-9	-2.720E-3
-500.000E-9	-2.500E-3
-450.000E-9	-2.280E-3
-400.000E-9	-2.060E-3
-350.000E-9	-1.850E-3
-300.000E-9	-1.630E-3
-250.000E-9	-1.420E-3
-200.000E-9	-1.220E-3
-150.000E-9	-1.000E-3
-100.000E-9	-800.000E-6
-50.000E-9	-580.000E-6
0.000E+0	-360.000E-6
50.000E-9	-230.000E-6
100.000E-9	-0.000E+0
150.000E-9	230.000E-6
200.000E-9	470.000E-6
250.000E-9	700.000E-6
300.000E-9	900.000E-6
350.000E-9	1.110E-3
400.000E-9	1.250E-3
450.000E-9	1.480E-3
500.000E-9	1.720E-3
550.000E-9	1.950E-3
600.000E-9	2.180E-3
650.000E-9	2.390E-3
700.000E-9	2.610E-3
750.000E-9	2.830E-3
800.000E-9	3.050E-3
850.000E-9	3.260E-3
900.000E-9	3.460E-3
950.000E-9	3.670E-3
1.000E-6	3.880E-3
