Custom_Flutes_23-Nov-20_5:31:46 PM	Left_PQC1_VDPStop_s
Temperature(C)= 22.1	Humidity(%)= 22.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.260E-3
-950.000E-9	-4.230E-3
-900.000E-9	-4.150E-3
-850.000E-9	-4.010E-3
-800.000E-9	-3.790E-3
-750.000E-9	-3.580E-3
-700.000E-9	-3.360E-3
-650.000E-9	-3.160E-3
-600.000E-9	-2.950E-3
-550.000E-9	-2.740E-3
-500.000E-9	-2.520E-3
-450.000E-9	-2.310E-3
-400.000E-9	-2.090E-3
-350.000E-9	-1.880E-3
-300.000E-9	-1.660E-3
-250.000E-9	-1.460E-3
-200.000E-9	-1.250E-3
-150.000E-9	-1.030E-3
-100.000E-9	-810.000E-6
-50.000E-9	-600.000E-6
0.000E+0	-380.000E-6
50.000E-9	-260.000E-6
100.000E-9	-30.000E-6
150.000E-9	200.000E-6
200.000E-9	430.000E-6
250.000E-9	660.000E-6
300.000E-9	870.000E-6
350.000E-9	1.090E-3
400.000E-9	1.310E-3
450.000E-9	1.520E-3
500.000E-9	1.730E-3
550.000E-9	1.940E-3
600.000E-9	2.150E-3
650.000E-9	2.370E-3
700.000E-9	2.580E-3
750.000E-9	2.780E-3
800.000E-9	3.000E-3
850.000E-9	3.220E-3
900.000E-9	3.430E-3
950.000E-9	3.650E-3
1.000E-6	3.850E-3
