Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC1_VDPStop_s
Temperature(C)= 21.4	Humidity(%)= 18.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.090E-3
-950.000E-9	-4.060E-3
-900.000E-9	-3.980E-3
-850.000E-9	-3.830E-3
-800.000E-9	-3.630E-3
-750.000E-9	-3.420E-3
-700.000E-9	-3.220E-3
-650.000E-9	-3.020E-3
-600.000E-9	-2.810E-3
-550.000E-9	-2.590E-3
-500.000E-9	-2.380E-3
-450.000E-9	-2.170E-3
-400.000E-9	-1.960E-3
-350.000E-9	-1.760E-3
-300.000E-9	-1.550E-3
-250.000E-9	-1.340E-3
-200.000E-9	-1.130E-3
-150.000E-9	-1.010E-3
-100.000E-9	-780.000E-6
-50.000E-9	-540.000E-6
0.000E+0	-310.000E-6
50.000E-9	-160.000E-6
100.000E-9	50.000E-6
150.000E-9	280.000E-6
200.000E-9	510.000E-6
250.000E-9	750.000E-6
300.000E-9	950.000E-6
350.000E-9	1.150E-3
400.000E-9	1.360E-3
450.000E-9	1.570E-3
500.000E-9	1.780E-3
550.000E-9	1.990E-3
600.000E-9	2.200E-3
650.000E-9	2.410E-3
700.000E-9	2.610E-3
750.000E-9	2.820E-3
800.000E-9	3.030E-3
850.000E-9	3.240E-3
900.000E-9	3.450E-3
950.000E-9	3.650E-3
1.000E-6	3.860E-3
