Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC1_VDPStop_r
Temperature(C)= 22.0	Humidity(%)= 6.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.200E-3
-950.000E-9	-4.180E-3
-900.000E-9	-4.090E-3
-850.000E-9	-3.940E-3
-800.000E-9	-3.820E-3
-750.000E-9	-3.580E-3
-700.000E-9	-3.350E-3
-650.000E-9	-3.120E-3
-600.000E-9	-2.900E-3
-550.000E-9	-2.690E-3
-500.000E-9	-2.560E-3
-450.000E-9	-2.330E-3
-400.000E-9	-2.100E-3
-350.000E-9	-1.870E-3
-300.000E-9	-1.650E-3
-250.000E-9	-1.440E-3
-200.000E-9	-1.230E-3
-150.000E-9	-1.010E-3
-100.000E-9	-800.000E-6
-50.000E-9	-590.000E-6
0.000E+0	-380.000E-6
50.000E-9	-170.000E-6
100.000E-9	20.000E-6
150.000E-9	240.000E-6
200.000E-9	450.000E-6
250.000E-9	660.000E-6
300.000E-9	870.000E-6
350.000E-9	1.070E-3
400.000E-9	1.290E-3
450.000E-9	1.500E-3
500.000E-9	1.710E-3
550.000E-9	1.910E-3
600.000E-9	2.120E-3
650.000E-9	2.330E-3
700.000E-9	2.540E-3
750.000E-9	2.670E-3
800.000E-9	2.900E-3
850.000E-9	3.130E-3
900.000E-9	3.360E-3
950.000E-9	3.590E-3
1.000E-6	3.800E-3
