Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC1_VDPStop_s
Temperature(C)= 19.8	Humidity(%)= 8.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.010E-3
-950.000E-9	-3.980E-3
-900.000E-9	-3.890E-3
-850.000E-9	-3.740E-3
-800.000E-9	-3.620E-3
-750.000E-9	-3.390E-3
-700.000E-9	-3.170E-3
-650.000E-9	-2.940E-3
-600.000E-9	-2.800E-3
-550.000E-9	-2.580E-3
-500.000E-9	-2.350E-3
-450.000E-9	-2.120E-3
-400.000E-9	-1.900E-3
-350.000E-9	-1.700E-3
-300.000E-9	-1.500E-3
-250.000E-9	-1.280E-3
-200.000E-9	-1.150E-3
-150.000E-9	-930.000E-6
-100.000E-9	-710.000E-6
-50.000E-9	-490.000E-6
0.000E+0	-260.000E-6
50.000E-9	-60.000E-6
100.000E-9	130.000E-6
150.000E-9	340.000E-6
200.000E-9	530.000E-6
250.000E-9	750.000E-6
300.000E-9	950.000E-6
350.000E-9	1.140E-3
400.000E-9	1.350E-3
450.000E-9	1.540E-3
500.000E-9	1.750E-3
550.000E-9	1.960E-3
600.000E-9	2.170E-3
650.000E-9	2.380E-3
700.000E-9	2.570E-3
750.000E-9	2.780E-3
800.000E-9	2.980E-3
850.000E-9	3.180E-3
900.000E-9	3.380E-3
950.000E-9	3.590E-3
1.000E-6	3.790E-3
