Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC1_VDPStop_r
Temperature(C)= 18.2	Humidity(%)= 22.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.050E-3
-950.000E-9	-4.050E-3
-900.000E-9	-3.970E-3
-850.000E-9	-3.830E-3
-800.000E-9	-3.630E-3
-750.000E-9	-3.410E-3
-700.000E-9	-3.210E-3
-650.000E-9	-3.000E-3
-600.000E-9	-2.790E-3
-550.000E-9	-2.590E-3
-500.000E-9	-2.380E-3
-450.000E-9	-2.270E-3
-400.000E-9	-2.050E-3
-350.000E-9	-1.910E-3
-300.000E-9	-1.660E-3
-250.000E-9	-1.420E-3
-200.000E-9	-1.200E-3
-150.000E-9	-980.000E-6
-100.000E-9	-770.000E-6
-50.000E-9	-570.000E-6
0.000E+0	-370.000E-6
50.000E-9	-250.000E-6
100.000E-9	-30.000E-6
150.000E-9	180.000E-6
200.000E-9	410.000E-6
250.000E-9	630.000E-6
300.000E-9	830.000E-6
350.000E-9	1.040E-3
400.000E-9	1.240E-3
450.000E-9	1.440E-3
500.000E-9	1.560E-3
550.000E-9	1.780E-3
600.000E-9	2.000E-3
650.000E-9	2.220E-3
700.000E-9	2.450E-3
750.000E-9	2.650E-3
800.000E-9	2.850E-3
850.000E-9	3.060E-3
900.000E-9	3.260E-3
950.000E-9	3.460E-3
1.000E-6	3.660E-3
