Custom_Flutes_23-Nov-20_12:02:07 PM	Right_PQC1_VDPStop_r
Temperature(C)= 20.4	Humidity(%)= 18.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.050E-3
-950.000E-9	-4.030E-3
-900.000E-9	-3.950E-3
-850.000E-9	-3.800E-3
-800.000E-9	-3.600E-3
-750.000E-9	-3.400E-3
-700.000E-9	-3.200E-3
-650.000E-9	-2.990E-3
-600.000E-9	-2.790E-3
-550.000E-9	-2.590E-3
-500.000E-9	-2.390E-3
-450.000E-9	-2.180E-3
-400.000E-9	-1.980E-3
-350.000E-9	-1.780E-3
-300.000E-9	-1.580E-3
-250.000E-9	-1.380E-3
-200.000E-9	-1.170E-3
-150.000E-9	-970.000E-6
-100.000E-9	-770.000E-6
-50.000E-9	-560.000E-6
0.000E+0	-360.000E-6
50.000E-9	-160.000E-6
100.000E-9	30.000E-6
150.000E-9	230.000E-6
200.000E-9	440.000E-6
250.000E-9	640.000E-6
300.000E-9	840.000E-6
350.000E-9	1.040E-3
400.000E-9	1.240E-3
450.000E-9	1.450E-3
500.000E-9	1.660E-3
550.000E-9	1.860E-3
600.000E-9	2.060E-3
650.000E-9	2.260E-3
700.000E-9	2.460E-3
750.000E-9	2.670E-3
800.000E-9	2.790E-3
850.000E-9	3.020E-3
900.000E-9	3.240E-3
950.000E-9	3.470E-3
1.000E-6	3.690E-3
