Custom_Flutes_23-Nov-20_3:11:13 PM	Left_PQC1_VDPStrip_r
Temperature(C)= 21.2	Humidity(%)= 17.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-262.010E-3
-950.000E-6	-207.130E-3
-900.000E-6	-152.600E-3
-850.000E-6	-100.220E-3
-800.000E-6	-59.620E-3
-750.000E-6	-34.290E-3
-700.000E-6	-17.730E-3
-650.000E-6	-7.150E-3
-600.000E-6	-10.000E-6
-550.000E-6	4.900E-3
-500.000E-6	8.870E-3
-450.000E-6	12.050E-3
-400.000E-6	14.510E-3
-350.000E-6	16.770E-3
-300.000E-6	18.850E-3
-250.000E-6	21.120E-3
-200.000E-6	22.810E-3
-150.000E-6	24.310E-3
-100.000E-6	26.390E-3
-50.000E-6	28.680E-3
0.000E+0	31.220E-3
50.000E-6	32.170E-3
100.000E-6	32.600E-3
150.000E-6	32.620E-3
200.000E-6	32.760E-3
250.000E-6	32.770E-3
300.000E-6	32.880E-3
350.000E-6	33.400E-3
400.000E-6	34.220E-3
450.000E-6	35.230E-3
500.000E-6	36.050E-3
550.000E-6	36.460E-3
600.000E-6	36.130E-3
650.000E-6	36.050E-3
700.000E-6	36.330E-3
750.000E-6	36.990E-3
800.000E-6	37.750E-3
850.000E-6	38.140E-3
900.000E-6	38.050E-3
950.000E-6	38.090E-3
1.000E-3	38.170E-3
