Custom_Flutes_13-Nov-20_5:52:15 PM	Right_PQC1_VDPStrip_s
Temperature(C)= 24.1	Humidity(%)= 17.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.630E-3
-950.000E-6	-7.600E-3
-900.000E-6	-7.450E-3
-850.000E-6	-7.190E-3
-800.000E-6	-6.800E-3
-750.000E-6	-6.420E-3
-700.000E-6	-6.030E-3
-650.000E-6	-5.640E-3
-600.000E-6	-5.260E-3
-550.000E-6	-4.870E-3
-500.000E-6	-4.490E-3
-450.000E-6	-4.110E-3
-400.000E-6	-3.730E-3
-350.000E-6	-3.360E-3
-300.000E-6	-2.980E-3
-250.000E-6	-2.600E-3
-200.000E-6	-2.220E-3
-150.000E-6	-1.840E-3
-100.000E-6	-1.460E-3
-50.000E-6	-1.080E-3
0.000E+0	-710.000E-6
50.000E-6	-330.000E-6
100.000E-6	40.000E-6
150.000E-6	420.000E-6
200.000E-6	800.000E-6
250.000E-6	1.190E-3
300.000E-6	1.570E-3
350.000E-6	1.970E-3
400.000E-6	2.350E-3
450.000E-6	2.740E-3
500.000E-6	3.120E-3
550.000E-6	3.500E-3
600.000E-6	3.880E-3
650.000E-6	4.260E-3
700.000E-6	4.640E-3
750.000E-6	5.010E-3
800.000E-6	5.390E-3
850.000E-6	5.760E-3
900.000E-6	6.140E-3
950.000E-6	6.530E-3
1.000E-3	6.910E-3
