Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC1_VDPStrip_s
Temperature(C)= 22.9	Humidity(%)= 20.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.690E-3
-950.000E-6	-7.700E-3
-900.000E-6	-7.570E-3
-850.000E-6	-7.320E-3
-800.000E-6	-6.940E-3
-750.000E-6	-6.560E-3
-700.000E-6	-6.180E-3
-650.000E-6	-5.820E-3
-600.000E-6	-5.410E-3
-550.000E-6	-5.020E-3
-500.000E-6	-4.630E-3
-450.000E-6	-4.240E-3
-400.000E-6	-3.860E-3
-350.000E-6	-3.480E-3
-300.000E-6	-3.090E-3
-250.000E-6	-2.700E-3
-200.000E-6	-2.340E-3
-150.000E-6	-1.960E-3
-100.000E-6	-1.570E-3
-50.000E-6	-1.230E-3
0.000E+0	-840.000E-6
50.000E-6	-450.000E-6
100.000E-6	-30.000E-6
150.000E-6	350.000E-6
200.000E-6	730.000E-6
250.000E-6	1.120E-3
300.000E-6	1.540E-3
350.000E-6	1.980E-3
400.000E-6	2.360E-3
450.000E-6	2.700E-3
500.000E-6	3.080E-3
550.000E-6	3.460E-3
600.000E-6	3.850E-3
650.000E-6	4.220E-3
700.000E-6	4.580E-3
750.000E-6	4.950E-3
800.000E-6	5.330E-3
850.000E-6	5.730E-3
900.000E-6	6.140E-3
950.000E-6	6.520E-3
1.000E-3	6.890E-3
