Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC1_VDPStrip_r
Temperature(C)= 22.5	Humidity(%)= 24.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.590E-3
-950.000E-6	-7.550E-3
-900.000E-6	-7.400E-3
-850.000E-6	-7.130E-3
-800.000E-6	-6.750E-3
-750.000E-6	-6.370E-3
-700.000E-6	-5.990E-3
-650.000E-6	-5.610E-3
-600.000E-6	-5.230E-3
-550.000E-6	-4.850E-3
-500.000E-6	-4.470E-3
-450.000E-6	-4.100E-3
-400.000E-6	-3.720E-3
-350.000E-6	-3.340E-3
-300.000E-6	-2.960E-3
-250.000E-6	-2.580E-3
-200.000E-6	-2.200E-3
-150.000E-6	-1.820E-3
-100.000E-6	-1.440E-3
-50.000E-6	-1.060E-3
0.000E+0	-680.000E-6
50.000E-6	-300.000E-6
100.000E-6	70.000E-6
150.000E-6	450.000E-6
200.000E-6	830.000E-6
250.000E-6	1.210E-3
300.000E-6	1.590E-3
350.000E-6	1.970E-3
400.000E-6	2.350E-3
450.000E-6	2.730E-3
500.000E-6	3.110E-3
550.000E-6	3.490E-3
600.000E-6	3.870E-3
650.000E-6	4.250E-3
700.000E-6	4.630E-3
750.000E-6	5.010E-3
800.000E-6	5.390E-3
850.000E-6	5.770E-3
900.000E-6	6.150E-3
950.000E-6	6.530E-3
1.000E-3	6.910E-3
