Custom_Flutes_23-Nov-20_6:52:48 PM	Left_PQC1_VDPStrip_s
Temperature(C)= 22.3	Humidity(%)= 21.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.600E-3
-950.000E-6	-7.580E-3
-900.000E-6	-7.440E-3
-850.000E-6	-7.190E-3
-800.000E-6	-6.810E-3
-750.000E-6	-6.440E-3
-700.000E-6	-6.060E-3
-650.000E-6	-5.680E-3
-600.000E-6	-5.310E-3
-550.000E-6	-4.930E-3
-500.000E-6	-4.550E-3
-450.000E-6	-4.160E-3
-400.000E-6	-3.780E-3
-350.000E-6	-3.400E-3
-300.000E-6	-3.010E-3
-250.000E-6	-2.630E-3
-200.000E-6	-2.250E-3
-150.000E-6	-1.880E-3
-100.000E-6	-1.500E-3
-50.000E-6	-1.120E-3
0.000E+0	-740.000E-6
50.000E-6	-360.000E-6
100.000E-6	10.000E-6
150.000E-6	390.000E-6
200.000E-6	780.000E-6
250.000E-6	1.160E-3
300.000E-6	1.540E-3
350.000E-6	1.930E-3
400.000E-6	2.320E-3
450.000E-6	2.700E-3
500.000E-6	3.080E-3
550.000E-6	3.450E-3
600.000E-6	3.830E-3
650.000E-6	4.200E-3
700.000E-6	4.580E-3
750.000E-6	4.960E-3
800.000E-6	5.350E-3
850.000E-6	5.730E-3
900.000E-6	6.100E-3
950.000E-6	6.480E-3
1.000E-3	6.860E-3
