Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC1_VDPStrip_s
Temperature(C)= 18.1	Humidity(%)= 24.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.600E-3
-950.000E-6	-7.560E-3
-900.000E-6	-7.410E-3
-850.000E-6	-7.140E-3
-800.000E-6	-6.760E-3
-750.000E-6	-6.380E-3
-700.000E-6	-6.000E-3
-650.000E-6	-5.620E-3
-600.000E-6	-5.240E-3
-550.000E-6	-4.860E-3
-500.000E-6	-4.480E-3
-450.000E-6	-4.100E-3
-400.000E-6	-3.720E-3
-350.000E-6	-3.340E-3
-300.000E-6	-2.960E-3
-250.000E-6	-2.580E-3
-200.000E-6	-2.200E-3
-150.000E-6	-1.820E-3
-100.000E-6	-1.440E-3
-50.000E-6	-1.060E-3
0.000E+0	-680.000E-6
50.000E-6	-450.000E-6
100.000E-6	-30.000E-6
150.000E-6	380.000E-6
200.000E-6	790.000E-6
250.000E-6	1.210E-3
300.000E-6	1.590E-3
350.000E-6	1.980E-3
400.000E-6	2.360E-3
450.000E-6	2.740E-3
500.000E-6	3.120E-3
550.000E-6	3.500E-3
600.000E-6	3.880E-3
650.000E-6	4.260E-3
700.000E-6	4.640E-3
750.000E-6	5.020E-3
800.000E-6	5.400E-3
850.000E-6	5.780E-3
900.000E-6	6.160E-3
950.000E-6	6.540E-3
1.000E-3	6.920E-3
