Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC1_VDPStrip_s
Temperature(C)= 22.2	Humidity(%)= 7.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.620E-3
-950.000E-6	-7.580E-3
-900.000E-6	-7.430E-3
-850.000E-6	-7.160E-3
-800.000E-6	-6.780E-3
-750.000E-6	-6.400E-3
-700.000E-6	-6.020E-3
-650.000E-6	-5.640E-3
-600.000E-6	-5.410E-3
-550.000E-6	-4.990E-3
-500.000E-6	-4.570E-3
-450.000E-6	-4.310E-3
-400.000E-6	-3.850E-3
-350.000E-6	-3.430E-3
-300.000E-6	-3.010E-3
-250.000E-6	-2.590E-3
-200.000E-6	-2.210E-3
-150.000E-6	-1.830E-3
-100.000E-6	-1.450E-3
-50.000E-6	-1.060E-3
0.000E+0	-680.000E-6
50.000E-6	-300.000E-6
100.000E-6	70.000E-6
150.000E-6	450.000E-6
200.000E-6	840.000E-6
250.000E-6	1.220E-3
300.000E-6	1.600E-3
350.000E-6	1.980E-3
400.000E-6	2.360E-3
450.000E-6	2.740E-3
500.000E-6	3.130E-3
550.000E-6	3.510E-3
600.000E-6	3.890E-3
650.000E-6	4.270E-3
700.000E-6	4.650E-3
750.000E-6	5.030E-3
800.000E-6	5.420E-3
850.000E-6	5.800E-3
900.000E-6	6.030E-3
950.000E-6	6.450E-3
1.000E-3	6.870E-3
