Extended_Flutes_09-Nov-20_2:01:59 PM	Left_PQC1_DiodeQuarter_IV	
Temperature(C)= 22.7	Humidity(%)= 13.2	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	617.069E-9
-10.000E+0	823.875E-9
-20.000E+0	730.826E-9
-30.000E+0	588.553E-9
-40.000E+0	430.056E-9
-50.000E+0	275.871E-9
-60.000E+0	135.383E-9
-70.000E+0	8.625E-9
-80.000E+0	448.081E-12
-90.000E+0	15.271E-12
-100.000E+0	9.092E-12
-110.000E+0	6.630E-12
-120.000E+0	7.451E-12
-130.000E+0	6.762E-12
-140.000E+0	7.597E-12
-150.000E+0	7.780E-12
-160.000E+0	7.849E-12
-170.000E+0	7.924E-12
-180.000E+0	8.011E-12
-190.000E+0	8.103E-12
-200.000E+0	8.229E-12
-210.000E+0	8.335E-12
-220.000E+0	8.430E-12
-230.000E+0	8.554E-12
-240.000E+0	8.676E-12
-250.000E+0	8.727E-12
-260.000E+0	8.802E-12
-270.000E+0	8.880E-12
-280.000E+0	8.953E-12
-290.000E+0	8.994E-12
-300.000E+0	9.048E-12
-310.000E+0	9.093E-12
-320.000E+0	8.733E-12
-330.000E+0	9.156E-12
-340.000E+0	9.237E-12
-350.000E+0	9.309E-12
-360.000E+0	9.319E-12
-370.000E+0	9.387E-12
-380.000E+0	9.425E-12
-390.000E+0	9.557E-12
-400.000E+0	8.951E-12
-410.000E+0	9.777E-12
-420.000E+0	9.404E-12
-430.000E+0	9.670E-12
-440.000E+0	11.349E-12
-450.000E+0	11.016E-12
-460.000E+0	11.957E-12
-470.000E+0	13.925E-12
-480.000E+0	15.185E-12
-490.000E+0	17.516E-12
-500.000E+0	21.008E-12
-510.000E+0	24.810E-12
-520.000E+0	29.273E-12
-530.000E+0	34.391E-12
-540.000E+0	40.186E-12
-550.000E+0	46.709E-12
-560.000E+0	53.945E-12
-570.000E+0	62.127E-12
-580.000E+0	71.315E-12
-590.000E+0	82.511E-12
-600.000E+0	93.981E-12
-610.000E+0	107.690E-12
-620.000E+0	123.644E-12
-630.000E+0	142.044E-12
-640.000E+0	163.414E-12
-650.000E+0	187.898E-12
-660.000E+0	206.371E-12
-670.000E+0	198.358E-12
-680.000E+0	189.290E-12
-690.000E+0	181.607E-12
-700.000E+0	174.989E-12
