Custom_Flutes_23-Nov-20_4:18:05 PM	Left_PQC1_VDPPoly_s
Temperature(C)= 21.6	Humidity(%)= 21.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.150E-3
-9.500E-6	-5.150E-3
-9.000E-6	-5.050E-3
-8.500E-6	-4.860E-3
-8.000E-6	-4.610E-3
-7.500E-6	-4.320E-3
-7.000E-6	-4.070E-3
-6.500E-6	-3.910E-3
-6.000E-6	-3.630E-3
-5.500E-6	-3.450E-3
-5.000E-6	-3.140E-3
-4.500E-6	-2.830E-3
-4.000E-6	-2.550E-3
-3.500E-6	-2.260E-3
-3.000E-6	-2.010E-3
-2.500E-6	-1.750E-3
-2.000E-6	-1.490E-3
-1.500E-6	-1.230E-3
-1.000E-6	-970.000E-6
-500.000E-9	-720.000E-6
-1.694E-21	-460.000E-6
500.000E-9	-200.000E-6
1.000E-6	50.000E-6
1.500E-6	300.000E-6
2.000E-6	560.000E-6
2.500E-6	820.000E-6
3.000E-6	1.080E-3
3.500E-6	1.330E-3
4.000E-6	1.590E-3
4.500E-6	1.850E-3
5.000E-6	2.110E-3
5.500E-6	2.360E-3
6.000E-6	2.620E-3
6.500E-6	2.880E-3
7.000E-6	3.140E-3
7.500E-6	3.290E-3
8.000E-6	3.580E-3
8.500E-6	3.860E-3
9.000E-6	4.140E-3
9.500E-6	4.420E-3
10.000E-6	4.680E-3
