Custom_Flutes_23-Nov-20_4:18:05 PM	Left_PQC1_VDPStop_r
Temperature(C)= 21.6	Humidity(%)= 17.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.220E-3
-950.000E-9	-4.200E-3
-900.000E-9	-4.120E-3
-850.000E-9	-3.970E-3
-800.000E-9	-3.750E-3
-750.000E-9	-3.540E-3
-700.000E-9	-3.330E-3
-650.000E-9	-3.120E-3
-600.000E-9	-2.900E-3
-550.000E-9	-2.690E-3
-500.000E-9	-2.480E-3
-450.000E-9	-2.270E-3
-400.000E-9	-2.050E-3
-350.000E-9	-1.840E-3
-300.000E-9	-1.630E-3
-250.000E-9	-1.420E-3
-200.000E-9	-1.210E-3
-150.000E-9	-990.000E-6
-100.000E-9	-780.000E-6
-50.000E-9	-570.000E-6
0.000E+0	-360.000E-6
50.000E-9	-150.000E-6
100.000E-9	50.000E-6
150.000E-9	260.000E-6
200.000E-9	470.000E-6
250.000E-9	690.000E-6
300.000E-9	900.000E-6
350.000E-9	1.110E-3
400.000E-9	1.320E-3
450.000E-9	1.530E-3
500.000E-9	1.750E-3
550.000E-9	1.960E-3
600.000E-9	2.170E-3
650.000E-9	2.300E-3
700.000E-9	2.530E-3
750.000E-9	2.680E-3
800.000E-9	2.930E-3
850.000E-9	3.180E-3
900.000E-9	3.420E-3
950.000E-9	3.650E-3
1.000E-6	3.860E-3
