Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC1_DiodeQuarter_CV	
Temperature(C)= 23.1	Humidity(%)= 13.1	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 100.000E+3	Settling_time(s) = 0.5	
		
Voltage (V)	Capacitance (F)
0.000E+0	35.300E-12
-5.000E+0	8.694E-12
-10.000E+0	7.190E-12
-15.000E+0	6.386E-12
-20.000E+0	5.981E-12
-25.000E+0	5.695E-12
-30.000E+0	5.476E-12
-35.000E+0	5.338E-12
-40.000E+0	5.211E-12
-45.000E+0	5.123E-12
-50.000E+0	5.025E-12
-55.000E+0	5.025E-12
-60.000E+0	4.998E-12
-65.000E+0	4.944E-12
-70.000E+0	5.046E-12
-75.000E+0	5.143E-12
-80.000E+0	5.323E-12
-85.000E+0	5.252E-12
-90.000E+0	5.032E-12
-95.000E+0	4.611E-12
-100.000E+0	4.448E-12
-105.000E+0	4.301E-12
-110.000E+0	4.187E-12
-115.000E+0	4.039E-12
-120.000E+0	4.030E-12
-125.000E+0	3.987E-12
-130.000E+0	3.954E-12
-135.000E+0	3.947E-12
-140.000E+0	3.930E-12
-145.000E+0	3.906E-12
-150.000E+0	3.839E-12
-155.000E+0	3.905E-12
-160.000E+0	3.842E-12
-165.000E+0	3.877E-12
-170.000E+0	3.860E-12
-175.000E+0	3.807E-12
-180.000E+0	3.808E-12
-185.000E+0	3.776E-12
-190.000E+0	3.802E-12
-195.000E+0	3.775E-12
-200.000E+0	3.792E-12
-205.000E+0	3.778E-12
-210.000E+0	3.733E-12
-215.000E+0	3.736E-12
-220.000E+0	3.665E-12
-225.000E+0	3.706E-12
-230.000E+0	3.722E-12
-235.000E+0	3.731E-12
-240.000E+0	3.672E-12
-245.000E+0	3.709E-12
-250.000E+0	3.678E-12
-255.000E+0	3.681E-12
-260.000E+0	3.712E-12
-265.000E+0	3.670E-12
-270.000E+0	3.686E-12
-275.000E+0	3.681E-12
-280.000E+0	3.677E-12
-285.000E+0	3.671E-12
-290.000E+0	3.723E-12
-295.000E+0	3.700E-12
-300.000E+0	3.721E-12
-305.000E+0	3.665E-12
-310.000E+0	3.656E-12
-315.000E+0	3.691E-12
-320.000E+0	3.678E-12
-325.000E+0	3.638E-12
-330.000E+0	3.666E-12
-335.000E+0	3.759E-12
-340.000E+0	3.690E-12
-345.000E+0	3.749E-12
-350.000E+0	3.644E-12
-355.000E+0	3.673E-12
-360.000E+0	3.717E-12
-365.000E+0	3.719E-12
-370.000E+0	3.694E-12
-375.000E+0	3.709E-12
-380.000E+0	3.649E-12
-385.000E+0	3.673E-12
-390.000E+0	3.663E-12
-395.000E+0	3.650E-12
-400.000E+0	3.684E-12
-405.000E+0	3.668E-12
-410.000E+0	3.694E-12
-415.000E+0	3.661E-12
-420.000E+0	3.654E-12
-425.000E+0	3.647E-12
-430.000E+0	3.682E-12
-435.000E+0	3.682E-12
-440.000E+0	3.679E-12
-445.000E+0	3.653E-12
-450.000E+0	3.687E-12
-455.000E+0	3.681E-12
-460.000E+0	3.657E-12
-465.000E+0	3.650E-12
-470.000E+0	3.680E-12
-475.000E+0	3.650E-12
-480.000E+0	3.666E-12
-485.000E+0	3.696E-12
-490.000E+0	3.676E-12
-495.000E+0	3.631E-12
-500.000E+0	3.658E-12
