Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC1_VDPStop_s
Temperature(C)= 23.0	Humidity(%)= 23.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.210E-3
-950.000E-9	-4.190E-3
-900.000E-9	-4.100E-3
-850.000E-9	-3.950E-3
-800.000E-9	-3.740E-3
-750.000E-9	-3.530E-3
-700.000E-9	-3.310E-3
-650.000E-9	-3.100E-3
-600.000E-9	-2.880E-3
-550.000E-9	-2.670E-3
-500.000E-9	-2.460E-3
-450.000E-9	-2.330E-3
-400.000E-9	-2.100E-3
-350.000E-9	-1.870E-3
-300.000E-9	-1.640E-3
-250.000E-9	-1.400E-3
-200.000E-9	-1.190E-3
-150.000E-9	-980.000E-6
-100.000E-9	-760.000E-6
-50.000E-9	-550.000E-6
0.000E+0	-340.000E-6
50.000E-9	-130.000E-6
100.000E-9	70.000E-6
150.000E-9	280.000E-6
200.000E-9	500.000E-6
250.000E-9	710.000E-6
300.000E-9	920.000E-6
350.000E-9	1.140E-3
400.000E-9	1.350E-3
450.000E-9	1.560E-3
500.000E-9	1.770E-3
550.000E-9	1.980E-3
600.000E-9	2.190E-3
650.000E-9	2.410E-3
700.000E-9	2.620E-3
750.000E-9	2.830E-3
800.000E-9	3.050E-3
850.000E-9	3.260E-3
900.000E-9	3.470E-3
950.000E-9	3.690E-3
1.000E-6	3.900E-3
