Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC1_FETPSs_trans	
Temperature(C)= 23.4	Humidity(%)= 7.6	Bias(V)= 100.000E-3
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-5.000E+0	980.850E-15
-4.900E+0	1.515E-12
-4.800E+0	1.586E-12
-4.700E+0	1.582E-12
-4.600E+0	1.570E-12
-4.500E+0	1.558E-12
-4.400E+0	1.557E-12
-4.300E+0	1.551E-12
-4.200E+0	1.542E-12
-4.100E+0	1.552E-12
-4.000E+0	1.559E-12
-3.900E+0	1.556E-12
-3.800E+0	1.560E-12
-3.700E+0	1.563E-12
-3.600E+0	1.562E-12
-3.500E+0	1.570E-12
-3.400E+0	1.575E-12
-3.300E+0	1.585E-12
-3.200E+0	1.595E-12
-3.100E+0	1.608E-12
-3.000E+0	1.630E-12
-2.900E+0	1.652E-12
-2.800E+0	1.686E-12
-2.700E+0	1.750E-12
-2.600E+0	1.865E-12
-2.500E+0	2.059E-12
-2.400E+0	2.349E-12
-2.300E+0	2.641E-12
-2.200E+0	2.847E-12
-2.100E+0	2.970E-12
-2.000E+0	3.041E-12
-1.900E+0	3.039E-12
-1.800E+0	3.013E-12
-1.700E+0	2.996E-12
-1.600E+0	2.978E-12
-1.500E+0	-196.743E-12
-1.400E+0	-32.352E-12
-1.300E+0	-3.563E-12
-1.200E+0	1.114E-12
-1.100E+0	1.874E-12
-1.000E+0	1.995E-12
-900.000E-3	2.009E-12
-800.000E-3	2.009E-12
-700.000E-3	2.004E-12
-600.000E-3	2.006E-12
-500.000E-3	1.999E-12
-400.000E-3	2.006E-12
-300.000E-3	2.002E-12
-200.000E-3	2.008E-12
-100.000E-3	2.003E-12
0.000E+0	2.020E-12
100.000E-3	2.010E-12
200.000E-3	2.006E-12
300.000E-3	2.002E-12
400.000E-3	2.003E-12
500.000E-3	2.005E-12
600.000E-3	2.011E-12
700.000E-3	2.005E-12
800.000E-3	2.005E-12
900.000E-3	2.008E-12
1.000E+0	2.012E-12
1.100E+0	2.011E-12
1.200E+0	2.012E-12
1.300E+0	2.013E-12
1.400E+0	2.018E-12
1.500E+0	2.024E-12
1.600E+0	2.027E-12
1.700E+0	2.045E-12
1.800E+0	2.068E-12
1.900E+0	2.093E-12
2.000E+0	2.152E-12
2.100E+0	2.229E-12
2.200E+0	2.378E-12
2.300E+0	2.625E-12
2.400E+0	3.053E-12
2.500E+0	3.951E-12
2.600E+0	5.751E-12
2.700E+0	9.955E-12
2.800E+0	20.505E-12
2.900E+0	50.122E-12
3.000E+0	128.655E-12
3.100E+0	953.084E-12
3.200E+0	1.239E-9
3.300E+0	3.295E-9
3.400E+0	8.125E-9
3.500E+0	18.473E-9
3.600E+0	38.894E-9
3.700E+0	75.972E-9
3.800E+0	138.335E-9
3.900E+0	234.024E-9
4.000E+0	374.649E-9
4.100E+0	566.133E-9
4.200E+0	809.007E-9
4.300E+0	1.096E-6
4.400E+0	1.417E-6
4.500E+0	1.755E-6
4.600E+0	2.098E-6
4.700E+0	2.427E-6
4.800E+0	2.746E-6
4.900E+0	3.046E-6
5.000E+0	3.329E-6
5.100E+0	3.595E-6
5.200E+0	3.843E-6
5.300E+0	4.077E-6
5.400E+0	4.293E-6
5.500E+0	4.504E-6
5.600E+0	4.701E-6
5.700E+0	4.889E-6
5.800E+0	5.069E-6
5.900E+0	5.241E-6
6.000E+0	5.405E-6
6.100E+0	5.564E-6
6.200E+0	5.716E-6
6.300E+0	5.863E-6
6.400E+0	6.009E-6
6.500E+0	6.148E-6
6.600E+0	6.286E-6
6.700E+0	6.420E-6
6.800E+0	6.547E-6
6.900E+0	6.675E-6
7.000E+0	6.796E-6
7.100E+0	6.915E-6
7.200E+0	7.036E-6
7.300E+0	7.152E-6
7.400E+0	7.268E-6
7.500E+0	7.378E-6
7.600E+0	7.487E-6
7.700E+0	7.597E-6
7.800E+0	7.705E-6
7.900E+0	7.813E-6
8.000E+0	7.917E-6
8.100E+0	8.017E-6
8.200E+0	8.122E-6
8.300E+0	8.223E-6
8.400E+0	8.321E-6
8.500E+0	8.420E-6
8.600E+0	8.517E-6
8.700E+0	8.609E-6
8.800E+0	8.703E-6
8.900E+0	8.800E-6
9.000E+0	8.893E-6
9.100E+0	8.985E-6
9.200E+0	9.078E-6
