Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC1_VDPStop_s
Temperature(C)= 23.4	Humidity(%)= 7.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.140E-3
-950.000E-9	-4.110E-3
-900.000E-9	-4.070E-3
-850.000E-9	-3.930E-3
-800.000E-9	-3.800E-3
-750.000E-9	-3.640E-3
-700.000E-9	-3.370E-3
-650.000E-9	-3.200E-3
-600.000E-9	-2.930E-3
-550.000E-9	-2.680E-3
-500.000E-9	-2.450E-3
-450.000E-9	-2.210E-3
-400.000E-9	-2.010E-3
-350.000E-9	-1.880E-3
-300.000E-9	-1.730E-3
-250.000E-9	-1.490E-3
-200.000E-9	-1.240E-3
-150.000E-9	-990.000E-6
-100.000E-9	-760.000E-6
-50.000E-9	-550.000E-6
0.000E+0	-340.000E-6
50.000E-9	-130.000E-6
100.000E-9	70.000E-6
150.000E-9	270.000E-6
200.000E-9	400.000E-6
250.000E-9	630.000E-6
300.000E-9	860.000E-6
350.000E-9	1.080E-3
400.000E-9	1.310E-3
450.000E-9	1.520E-3
500.000E-9	1.730E-3
550.000E-9	1.940E-3
600.000E-9	2.150E-3
650.000E-9	2.350E-3
700.000E-9	2.550E-3
750.000E-9	2.760E-3
800.000E-9	2.970E-3
850.000E-9	3.190E-3
900.000E-9	3.400E-3
950.000E-9	3.600E-3
1.000E-6	3.800E-3
