Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC1_VDPPoly_r
Temperature(C)= 23.0	Humidity(%)= 24.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.060E-3
-9.500E-6	-5.030E-3
-9.000E-6	-4.930E-3
-8.500E-6	-4.750E-3
-8.000E-6	-4.600E-3
-7.500E-6	-4.420E-3
-7.000E-6	-4.120E-3
-6.500E-6	-3.820E-3
-6.000E-6	-3.510E-3
-5.500E-6	-3.240E-3
-5.000E-6	-2.980E-3
-4.500E-6	-2.730E-3
-4.000E-6	-2.470E-3
-3.500E-6	-2.220E-3
-3.000E-6	-1.970E-3
-2.500E-6	-1.720E-3
-2.000E-6	-1.560E-3
-1.500E-6	-1.280E-3
-1.000E-6	-1.000E-3
-500.000E-9	-730.000E-6
-1.694E-21	-450.000E-6
500.000E-9	-190.000E-6
1.000E-6	50.000E-6
1.500E-6	300.000E-6
2.000E-6	550.000E-6
2.500E-6	810.000E-6
3.000E-6	1.060E-3
3.500E-6	1.310E-3
4.000E-6	1.570E-3
4.500E-6	1.820E-3
5.000E-6	2.080E-3
5.500E-6	2.330E-3
6.000E-6	2.580E-3
6.500E-6	2.830E-3
7.000E-6	3.090E-3
7.500E-6	3.340E-3
8.000E-6	3.490E-3
8.500E-6	3.770E-3
9.000E-6	4.050E-3
9.500E-6	4.230E-3
10.000E-6	4.430E-3
