Custom_Flutes_13-Nov-20_1:42:27 PM	Left_PQC1_VDPPoly_r
Temperature(C)= 22.4	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-4.750E-3
-9.500E-6	-4.790E-3
-9.000E-6	-4.740E-3
-8.500E-6	-4.560E-3
-8.000E-6	-4.330E-3
-7.500E-6	-4.080E-3
-7.000E-6	-3.830E-3
-6.500E-6	-3.640E-3
-6.000E-6	-3.330E-3
-5.500E-6	-3.010E-3
-5.000E-6	-2.740E-3
-4.500E-6	-2.500E-3
-4.000E-6	-2.270E-3
-3.500E-6	-2.040E-3
-3.000E-6	-1.810E-3
-2.500E-6	-1.520E-3
-2.000E-6	-1.260E-3
-1.500E-6	-930.000E-6
-1.000E-6	-670.000E-6
-500.000E-9	-320.000E-6
-1.694E-21	70.000E-6
500.000E-9	340.000E-6
1.000E-6	620.000E-6
1.500E-6	680.000E-6
2.000E-6	1.980E-3
2.500E-6	1.820E-3
3.000E-6	2.310E-3
3.500E-6	1.430E-3
4.000E-6	1.240E-3
4.500E-6	1.400E-3
5.000E-6	1.980E-3
5.500E-6	2.540E-3
6.000E-6	2.930E-3
6.500E-6	3.180E-3
7.000E-6	3.500E-3
7.500E-6	3.840E-3
8.000E-6	4.080E-3
8.500E-6	4.280E-3
9.000E-6	4.460E-3
9.500E-6	4.630E-3
10.000E-6	5.000E-3
