Custom_Flutes_13-Nov-20_1:42:27 PM	Left_PQC1_VDPStrip_r
Temperature(C)= 22.5	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.710E-3
-950.000E-6	-7.670E-3
-900.000E-6	-7.520E-3
-850.000E-6	-7.250E-3
-800.000E-6	-6.860E-3
-750.000E-6	-6.470E-3
-700.000E-6	-6.090E-3
-650.000E-6	-5.710E-3
-600.000E-6	-5.320E-3
-550.000E-6	-4.930E-3
-500.000E-6	-4.550E-3
-450.000E-6	-4.160E-3
-400.000E-6	-3.780E-3
-350.000E-6	-3.390E-3
-300.000E-6	-3.010E-3
-250.000E-6	-2.620E-3
-200.000E-6	-2.230E-3
-150.000E-6	-1.850E-3
-100.000E-6	-1.620E-3
-50.000E-6	-1.190E-3
0.000E+0	-770.000E-6
50.000E-6	-340.000E-6
100.000E-6	70.000E-6
150.000E-6	460.000E-6
200.000E-6	840.000E-6
250.000E-6	1.230E-3
300.000E-6	1.620E-3
350.000E-6	2.000E-3
400.000E-6	2.390E-3
450.000E-6	2.770E-3
500.000E-6	3.160E-3
550.000E-6	3.550E-3
600.000E-6	3.930E-3
650.000E-6	4.320E-3
700.000E-6	4.710E-3
750.000E-6	5.090E-3
800.000E-6	5.480E-3
850.000E-6	5.860E-3
900.000E-6	6.250E-3
950.000E-6	6.640E-3
1.000E-3	7.020E-3
