Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC1_DiodeQuarter_IV	
Temperature(C)= 19.2	Humidity(%)= 13.4	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	568.572E-9
-10.000E+0	2.460E-6
-20.000E+0	2.950E-6
-30.000E+0	2.811E-6
-40.000E+0	2.266E-6
-50.000E+0	1.521E-6
-60.000E+0	705.096E-9
-70.000E+0	64.048E-9
-80.000E+0	4.070E-9
-90.000E+0	312.638E-12
-100.000E+0	6.355E-12
-110.000E+0	8.975E-12
-120.000E+0	7.774E-12
-130.000E+0	7.652E-12
-140.000E+0	7.653E-12
-150.000E+0	7.757E-12
-160.000E+0	7.902E-12
-170.000E+0	8.880E-12
-180.000E+0	8.291E-12
-190.000E+0	9.161E-12
-200.000E+0	8.604E-12
-210.000E+0	9.462E-12
-220.000E+0	8.917E-12
-230.000E+0	9.725E-12
-240.000E+0	9.139E-12
-250.000E+0	9.874E-12
-260.000E+0	9.326E-12
-270.000E+0	9.357E-12
-280.000E+0	9.447E-12
-290.000E+0	9.477E-12
-300.000E+0	9.527E-12
-310.000E+0	9.577E-12
-320.000E+0	10.868E-12
-330.000E+0	9.932E-12
-340.000E+0	10.294E-12
-350.000E+0	11.014E-12
-360.000E+0	12.272E-12
-370.000E+0	15.225E-12
-380.000E+0	18.943E-12
-390.000E+0	25.961E-12
-400.000E+0	36.351E-12
-410.000E+0	51.022E-12
-420.000E+0	70.122E-12
-430.000E+0	92.639E-12
-440.000E+0	118.159E-12
-450.000E+0	147.623E-12
-460.000E+0	179.076E-12
-470.000E+0	550.248E-12
-480.000E+0	208.952E-12
-490.000E+0	293.240E-12
-500.000E+0	344.374E-12
-510.000E+0	400.866E-12
-520.000E+0	465.638E-12
-530.000E+0	534.683E-12
-540.000E+0	610.629E-12
-550.000E+0	696.494E-12
-560.000E+0	784.215E-12
-570.000E+0	890.676E-12
-580.000E+0	999.142E-12
-590.000E+0	1.123E-9
-600.000E+0	1.250E-9
-610.000E+0	1.399E-9
-620.000E+0	1.554E-9
-630.000E+0	1.726E-9
-640.000E+0	1.914E-9
-650.000E+0	1.788E-9
-660.000E+0	1.607E-9
-670.000E+0	1.469E-9
-680.000E+0	1.357E-9
-690.000E+0	1.266E-9
-700.000E+0	1.191E-9
