Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC1_MOSQuarter_CV	
Temperature(C)= 19.0	Humidity(%)= 17.0	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 10.000E+3	Settling_time(s) = 0.1	
		
Voltage (V)	Capacitance (F)
-5.000E+0	40.480E-12
-4.900E+0	40.510E-12
-4.800E+0	40.620E-12
-4.700E+0	40.700E-12
-4.600E+0	40.820E-12
-4.500E+0	40.900E-12
-4.400E+0	40.660E-12
-4.300E+0	41.050E-12
-4.200E+0	40.820E-12
-4.100E+0	40.590E-12
-4.000E+0	40.600E-12
-3.900E+0	40.880E-12
-3.800E+0	40.800E-12
-3.700E+0	40.780E-12
-3.600E+0	40.920E-12
-3.500E+0	40.910E-12
-3.400E+0	40.570E-12
-3.300E+0	40.480E-12
-3.200E+0	40.890E-12
-3.100E+0	40.320E-12
-3.000E+0	40.600E-12
-2.900E+0	40.420E-12
-2.800E+0	40.430E-12
-2.700E+0	40.660E-12
-2.600E+0	40.420E-12
-2.500E+0	40.340E-12
-2.400E+0	40.690E-12
-2.300E+0	40.320E-12
-2.200E+0	40.240E-12
-2.100E+0	40.430E-12
-2.000E+0	40.480E-12
-1.900E+0	40.240E-12
-1.800E+0	40.410E-12
-1.700E+0	40.230E-12
-1.600E+0	40.290E-12
-1.500E+0	40.330E-12
-1.400E+0	40.370E-12
-1.300E+0	39.890E-12
-1.200E+0	40.180E-12
-1.100E+0	40.230E-12
-1.000E+0	40.280E-12
-900.000E-3	39.980E-12
-800.000E-3	39.740E-12
-700.000E-3	39.910E-12
-600.000E-3	39.660E-12
-500.000E-3	39.840E-12
-400.000E-3	39.730E-12
-300.000E-3	39.610E-12
-200.000E-3	39.580E-12
-100.000E-3	39.460E-12
0.000E+0	39.170E-12
100.000E-3	39.230E-12
200.000E-3	39.580E-12
300.000E-3	39.120E-12
400.000E-3	39.260E-12
500.000E-3	38.710E-12
600.000E-3	39.080E-12
700.000E-3	39.060E-12
800.000E-3	38.680E-12
900.000E-3	38.440E-12
1.000E+0	38.140E-12
1.100E+0	38.170E-12
1.200E+0	37.830E-12
1.300E+0	37.410E-12
1.400E+0	37.030E-12
1.500E+0	36.070E-12
1.600E+0	35.290E-12
1.700E+0	33.270E-12
1.800E+0	30.600E-12
1.900E+0	27.740E-12
2.000E+0	27.600E-12
2.100E+0	29.210E-12
2.200E+0	32.850E-12
2.300E+0	38.250E-12
2.400E+0	45.480E-12
2.500E+0	53.010E-12
2.600E+0	59.830E-12
2.700E+0	66.600E-12
2.800E+0	71.690E-12
2.900E+0	75.350E-12
3.000E+0	78.510E-12
3.100E+0	80.400E-12
3.200E+0	82.290E-12
3.300E+0	83.270E-12
3.400E+0	84.390E-12
3.500E+0	85.150E-12
3.600E+0	85.340E-12
3.700E+0	85.820E-12
3.800E+0	86.030E-12
3.900E+0	86.400E-12
4.000E+0	86.600E-12
4.100E+0	86.870E-12
4.200E+0	86.850E-12
4.300E+0	87.280E-12
4.400E+0	87.420E-12
4.500E+0	87.740E-12
4.600E+0	87.660E-12
4.700E+0	87.980E-12
4.800E+0	87.740E-12
4.900E+0	87.950E-12
5.000E+0	87.770E-12
5.100E+0	88.080E-12
5.200E+0	87.820E-12
5.300E+0	87.930E-12
5.400E+0	88.360E-12
5.500E+0	88.200E-12
5.600E+0	88.140E-12
5.700E+0	89.000E-12
5.800E+0	88.510E-12
5.900E+0	88.360E-12
6.000E+0	88.530E-12
6.100E+0	88.600E-12
6.200E+0	88.660E-12
6.300E+0	88.590E-12
6.400E+0	88.670E-12
6.500E+0	88.870E-12
6.600E+0	88.600E-12
6.700E+0	88.740E-12
6.800E+0	88.840E-12
6.900E+0	88.830E-12
7.000E+0	89.160E-12
7.100E+0	89.060E-12
7.200E+0	89.100E-12
7.300E+0	88.960E-12
7.400E+0	88.870E-12
7.500E+0	89.220E-12
7.600E+0	89.100E-12
7.700E+0	89.050E-12
7.800E+0	89.040E-12
7.900E+0	89.140E-12
8.000E+0	89.290E-12
8.100E+0	89.040E-12
8.200E+0	89.350E-12
8.300E+0	89.100E-12
8.400E+0	89.080E-12
8.500E+0	88.940E-12
8.600E+0	89.030E-12
8.700E+0	89.160E-12
8.800E+0	89.230E-12
8.900E+0	89.150E-12
9.000E+0	89.120E-12
9.100E+0	89.330E-12
9.200E+0	89.300E-12
9.300E+0	89.310E-12
9.400E+0	89.140E-12
9.500E+0	89.200E-12
9.600E+0	89.580E-12
9.700E+0	89.380E-12
9.800E+0	89.500E-12
9.900E+0	89.380E-12
10.000E+0	89.200E-12
