Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC1_VDPPoly_s
Temperature(C)= 18.7	Humidity(%)= 26.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.220E-3
-9.500E-6	-5.200E-3
-9.000E-6	-5.090E-3
-8.500E-6	-4.910E-3
-8.000E-6	-4.650E-3
-7.500E-6	-4.380E-3
-7.000E-6	-4.120E-3
-6.500E-6	-3.860E-3
-6.000E-6	-3.600E-3
-5.500E-6	-3.340E-3
-5.000E-6	-3.080E-3
-4.500E-6	-2.820E-3
-4.000E-6	-2.560E-3
-3.500E-6	-2.300E-3
-3.000E-6	-2.040E-3
-2.500E-6	-1.770E-3
-2.000E-6	-1.510E-3
-1.500E-6	-1.250E-3
-1.000E-6	-990.000E-6
-500.000E-9	-730.000E-6
-1.694E-21	-470.000E-6
500.000E-9	-210.000E-6
1.000E-6	50.000E-6
1.500E-6	310.000E-6
2.000E-6	570.000E-6
2.500E-6	830.000E-6
3.000E-6	1.090E-3
3.500E-6	1.350E-3
4.000E-6	1.610E-3
4.500E-6	1.880E-3
5.000E-6	2.140E-3
5.500E-6	2.400E-3
6.000E-6	2.660E-3
6.500E-6	2.920E-3
7.000E-6	3.180E-3
7.500E-6	3.440E-3
8.000E-6	3.700E-3
8.500E-6	3.960E-3
9.000E-6	4.220E-3
9.500E-6	4.490E-3
10.000E-6	4.750E-3
