Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC1_VDPStop_s
Temperature(C)= 18.8	Humidity(%)= 22.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.090E-3
-950.000E-9	-4.060E-3
-900.000E-9	-3.980E-3
-850.000E-9	-3.840E-3
-800.000E-9	-3.630E-3
-750.000E-9	-3.420E-3
-700.000E-9	-3.290E-3
-650.000E-9	-3.060E-3
-600.000E-9	-2.840E-3
-550.000E-9	-2.610E-3
-500.000E-9	-2.380E-3
-450.000E-9	-2.170E-3
-400.000E-9	-1.970E-3
-350.000E-9	-1.770E-3
-300.000E-9	-1.560E-3
-250.000E-9	-1.350E-3
-200.000E-9	-1.140E-3
-150.000E-9	-930.000E-6
-100.000E-9	-730.000E-6
-50.000E-9	-530.000E-6
0.000E+0	-320.000E-6
50.000E-9	-110.000E-6
100.000E-9	90.000E-6
150.000E-9	300.000E-6
200.000E-9	510.000E-6
250.000E-9	710.000E-6
300.000E-9	920.000E-6
350.000E-9	1.130E-3
400.000E-9	1.350E-3
450.000E-9	1.560E-3
500.000E-9	1.760E-3
550.000E-9	1.970E-3
600.000E-9	2.170E-3
650.000E-9	2.370E-3
700.000E-9	2.580E-3
750.000E-9	2.790E-3
800.000E-9	3.000E-3
850.000E-9	3.210E-3
900.000E-9	3.410E-3
950.000E-9	3.620E-3
1.000E-6	3.750E-3
