Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC1_VDPPoly_s
Temperature(C)= 22.5	Humidity(%)= 27.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.030E-3
-9.500E-6	-5.000E-3
-9.000E-6	-4.900E-3
-8.500E-6	-4.710E-3
-8.000E-6	-4.460E-3
-7.500E-6	-4.200E-3
-7.000E-6	-4.050E-3
-6.500E-6	-3.760E-3
-6.000E-6	-3.480E-3
-5.500E-6	-3.190E-3
-5.000E-6	-2.910E-3
-4.500E-6	-2.650E-3
-4.000E-6	-2.390E-3
-3.500E-6	-2.130E-3
-3.000E-6	-1.870E-3
-2.500E-6	-1.620E-3
-2.000E-6	-1.460E-3
-1.500E-6	-1.180E-3
-1.000E-6	-890.000E-6
-500.000E-9	-600.000E-6
-1.694E-21	-320.000E-6
500.000E-9	-60.000E-6
1.000E-6	190.000E-6
1.500E-6	440.000E-6
2.000E-6	700.000E-6
2.500E-6	960.000E-6
3.000E-6	1.220E-3
3.500E-6	1.480E-3
4.000E-6	1.740E-3
4.500E-6	1.990E-3
5.000E-6	2.250E-3
5.500E-6	2.510E-3
6.000E-6	2.770E-3
6.500E-6	3.030E-3
7.000E-6	3.290E-3
7.500E-6	3.550E-3
8.000E-6	3.810E-3
8.500E-6	4.060E-3
9.000E-6	4.320E-3
9.500E-6	4.580E-3
10.000E-6	4.840E-3
