Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC1_VDPPoly_s
Temperature(C)= 22.8	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.190E-3
-9.500E-6	-5.190E-3
-9.000E-6	-5.080E-3
-8.500E-6	-4.960E-3
-8.000E-6	-4.690E-3
-7.500E-6	-4.370E-3
-7.000E-6	-4.080E-3
-6.500E-6	-3.810E-3
-6.000E-6	-3.550E-3
-5.500E-6	-3.290E-3
-5.000E-6	-3.040E-3
-4.500E-6	-2.790E-3
-4.000E-6	-2.550E-3
-3.500E-6	-2.280E-3
-3.000E-6	-2.020E-3
-2.500E-6	-1.760E-3
-2.000E-6	-1.500E-3
-1.500E-6	-1.350E-3
-1.000E-6	-1.060E-3
-500.000E-9	-770.000E-6
-1.694E-21	-590.000E-6
500.000E-9	-380.000E-6
1.000E-6	-70.000E-6
1.500E-6	230.000E-6
2.000E-6	540.000E-6
2.500E-6	820.000E-6
3.000E-6	1.080E-3
3.500E-6	1.340E-3
4.000E-6	1.500E-3
4.500E-6	1.780E-3
5.000E-6	2.060E-3
5.500E-6	2.340E-3
6.000E-6	2.630E-3
6.500E-6	2.780E-3
7.000E-6	3.070E-3
7.500E-6	3.250E-3
8.000E-6	3.560E-3
8.500E-6	3.770E-3
9.000E-6	4.080E-3
9.500E-6	4.280E-3
10.000E-6	4.590E-3
