Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC1_VDPStop_r
Temperature(C)= 22.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.160E-3
-950.000E-9	-4.130E-3
-900.000E-9	-4.080E-3
-850.000E-9	-3.940E-3
-800.000E-9	-3.730E-3
-750.000E-9	-3.500E-3
-700.000E-9	-3.270E-3
-650.000E-9	-3.070E-3
-600.000E-9	-2.860E-3
-550.000E-9	-2.740E-3
-500.000E-9	-2.510E-3
-450.000E-9	-2.280E-3
-400.000E-9	-2.040E-3
-350.000E-9	-1.810E-3
-300.000E-9	-1.690E-3
-250.000E-9	-1.540E-3
-200.000E-9	-1.290E-3
-150.000E-9	-1.040E-3
-100.000E-9	-790.000E-6
-50.000E-9	-560.000E-6
0.000E+0	-350.000E-6
50.000E-9	-150.000E-6
100.000E-9	50.000E-6
150.000E-9	260.000E-6
200.000E-9	470.000E-6
250.000E-9	680.000E-6
300.000E-9	890.000E-6
350.000E-9	1.100E-3
400.000E-9	1.310E-3
450.000E-9	1.520E-3
500.000E-9	1.730E-3
550.000E-9	1.860E-3
600.000E-9	2.080E-3
650.000E-9	2.310E-3
700.000E-9	2.540E-3
750.000E-9	2.770E-3
800.000E-9	2.980E-3
850.000E-9	3.180E-3
900.000E-9	3.390E-3
950.000E-9	3.600E-3
1.000E-6	3.810E-3
