Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC1_VDPStrip_r
Temperature(C)= 23.4	Humidity(%)= 20.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.700E-3
-950.000E-6	-7.660E-3
-900.000E-6	-7.500E-3
-850.000E-6	-7.230E-3
-800.000E-6	-6.850E-3
-750.000E-6	-6.460E-3
-700.000E-6	-6.080E-3
-650.000E-6	-5.690E-3
-600.000E-6	-5.310E-3
-550.000E-6	-4.920E-3
-500.000E-6	-4.540E-3
-450.000E-6	-4.160E-3
-400.000E-6	-3.770E-3
-350.000E-6	-3.380E-3
-300.000E-6	-3.000E-3
-250.000E-6	-2.620E-3
-200.000E-6	-2.230E-3
-150.000E-6	-1.850E-3
-100.000E-6	-1.460E-3
-50.000E-6	-1.080E-3
0.000E+0	-690.000E-6
50.000E-6	-310.000E-6
100.000E-6	70.000E-6
150.000E-6	460.000E-6
200.000E-6	840.000E-6
250.000E-6	1.230E-3
300.000E-6	1.610E-3
350.000E-6	1.990E-3
400.000E-6	2.380E-3
450.000E-6	2.760E-3
500.000E-6	3.150E-3
550.000E-6	3.380E-3
600.000E-6	3.810E-3
650.000E-6	4.230E-3
700.000E-6	4.660E-3
750.000E-6	5.080E-3
800.000E-6	5.470E-3
850.000E-6	5.850E-3
900.000E-6	6.240E-3
950.000E-6	6.620E-3
1.000E-3	7.010E-3
