Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC1_DiodeQuarter_IV	
Temperature(C)= 23.6	Humidity(%)= 6.1	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	664.806E-9
-10.000E+0	771.838E-9
-20.000E+0	742.811E-9
-30.000E+0	632.224E-9
-40.000E+0	482.887E-9
-50.000E+0	318.179E-9
-60.000E+0	158.319E-9
-70.000E+0	14.988E-9
-80.000E+0	887.915E-12
-90.000E+0	74.367E-12
-100.000E+0	27.777E-12
-110.000E+0	16.339E-12
-120.000E+0	15.620E-12
-130.000E+0	15.770E-12
-140.000E+0	15.883E-12
-150.000E+0	16.010E-12
-160.000E+0	16.104E-12
-170.000E+0	16.266E-12
-180.000E+0	16.380E-12
-190.000E+0	16.508E-12
-200.000E+0	16.665E-12
-210.000E+0	16.833E-12
-220.000E+0	16.970E-12
-230.000E+0	17.105E-12
-240.000E+0	17.194E-12
-250.000E+0	17.300E-12
-260.000E+0	17.377E-12
-270.000E+0	17.451E-12
-280.000E+0	17.490E-12
-290.000E+0	17.559E-12
-300.000E+0	17.601E-12
-310.000E+0	20.717E-12
-320.000E+0	17.912E-12
-330.000E+0	17.806E-12
-340.000E+0	17.855E-12
-350.000E+0	17.954E-12
-360.000E+0	18.041E-12
-370.000E+0	18.171E-12
-380.000E+0	18.425E-12
-390.000E+0	18.807E-12
-400.000E+0	20.084E-12
-410.000E+0	21.116E-12
-420.000E+0	22.654E-12
-430.000E+0	24.879E-12
-440.000E+0	28.176E-12
-450.000E+0	33.436E-12
-460.000E+0	39.171E-12
-470.000E+0	46.902E-12
-480.000E+0	56.231E-12
-490.000E+0	66.935E-12
-500.000E+0	78.942E-12
-510.000E+0	92.392E-12
-520.000E+0	107.240E-12
-530.000E+0	123.978E-12
-540.000E+0	142.656E-12
-550.000E+0	163.893E-12
-560.000E+0	187.500E-12
-570.000E+0	207.527E-12
-580.000E+0	243.710E-12
-590.000E+0	277.426E-12
-600.000E+0	315.271E-12
-610.000E+0	356.939E-12
-620.000E+0	403.667E-12
-630.000E+0	455.784E-12
-640.000E+0	514.119E-12
-650.000E+0	578.415E-12
-660.000E+0	650.502E-12
-670.000E+0	611.681E-12
-680.000E+0	565.631E-12
-690.000E+0	528.699E-12
-700.000E+0	499.149E-12
