Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC1_MOSQuarter_CV	
Temperature(C)= 21.7	Humidity(%)= 7.0	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 10.000E+3	Settling_time(s) = 0.1	
		
Voltage (V)	Capacitance (F)
-5.000E+0	42.330E-12
-4.900E+0	41.980E-12
-4.800E+0	42.140E-12
-4.700E+0	42.650E-12
-4.600E+0	42.110E-12
-4.500E+0	42.410E-12
-4.400E+0	42.100E-12
-4.300E+0	42.060E-12
-4.200E+0	42.090E-12
-4.100E+0	42.240E-12
-4.000E+0	42.170E-12
-3.900E+0	41.930E-12
-3.800E+0	42.120E-12
-3.700E+0	41.940E-12
-3.600E+0	41.820E-12
-3.500E+0	41.940E-12
-3.400E+0	41.930E-12
-3.300E+0	41.810E-12
-3.200E+0	41.840E-12
-3.100E+0	42.300E-12
-3.000E+0	41.790E-12
-2.900E+0	41.750E-12
-2.800E+0	41.840E-12
-2.700E+0	41.970E-12
-2.600E+0	41.700E-12
-2.500E+0	41.870E-12
-2.400E+0	41.540E-12
-2.300E+0	41.690E-12
-2.200E+0	41.830E-12
-2.100E+0	41.400E-12
-2.000E+0	41.840E-12
-1.900E+0	41.840E-12
-1.800E+0	41.600E-12
-1.700E+0	41.590E-12
-1.600E+0	41.480E-12
-1.500E+0	41.700E-12
-1.400E+0	41.530E-12
-1.300E+0	41.200E-12
-1.200E+0	41.710E-12
-1.100E+0	41.260E-12
-1.000E+0	41.640E-12
-900.000E-3	41.510E-12
-800.000E-3	41.060E-12
-700.000E-3	41.030E-12
-600.000E-3	41.320E-12
-500.000E-3	41.370E-12
-400.000E-3	40.880E-12
-300.000E-3	40.880E-12
-200.000E-3	40.930E-12
-100.000E-3	40.660E-12
0.000E+0	40.930E-12
100.000E-3	40.580E-12
200.000E-3	40.470E-12
300.000E-3	40.540E-12
400.000E-3	40.400E-12
500.000E-3	40.100E-12
600.000E-3	40.260E-12
700.000E-3	39.990E-12
800.000E-3	40.010E-12
900.000E-3	40.150E-12
1.000E+0	39.350E-12
1.100E+0	39.570E-12
1.200E+0	39.080E-12
1.300E+0	38.690E-12
1.400E+0	38.450E-12
1.500E+0	38.060E-12
1.600E+0	37.490E-12
1.700E+0	36.800E-12
1.800E+0	35.300E-12
1.900E+0	32.980E-12
2.000E+0	29.060E-12
2.100E+0	27.490E-12
2.200E+0	28.510E-12
2.300E+0	31.000E-12
2.400E+0	35.400E-12
2.500E+0	42.050E-12
2.600E+0	50.040E-12
2.700E+0	59.550E-12
2.800E+0	66.190E-12
2.900E+0	71.490E-12
3.000E+0	75.500E-12
3.100E+0	78.460E-12
3.200E+0	80.740E-12
3.300E+0	82.850E-12
3.400E+0	83.680E-12
3.500E+0	84.930E-12
3.600E+0	85.060E-12
3.700E+0	85.870E-12
3.800E+0	85.910E-12
3.900E+0	86.440E-12
4.000E+0	86.850E-12
4.100E+0	87.120E-12
4.200E+0	87.610E-12
4.300E+0	87.750E-12
4.400E+0	87.740E-12
4.500E+0	88.120E-12
4.600E+0	88.070E-12
4.700E+0	88.210E-12
4.800E+0	88.380E-12
4.900E+0	88.610E-12
5.000E+0	88.580E-12
5.100E+0	88.190E-12
5.200E+0	88.540E-12
5.300E+0	88.490E-12
5.400E+0	88.630E-12
5.500E+0	88.990E-12
5.600E+0	89.210E-12
5.700E+0	88.860E-12
5.800E+0	88.820E-12
5.900E+0	89.380E-12
6.000E+0	89.190E-12
6.100E+0	89.130E-12
6.200E+0	89.210E-12
6.300E+0	89.100E-12
6.400E+0	89.190E-12
6.500E+0	89.380E-12
6.600E+0	89.220E-12
6.700E+0	89.230E-12
6.800E+0	89.580E-12
6.900E+0	89.590E-12
7.000E+0	89.450E-12
7.100E+0	89.420E-12
7.200E+0	89.320E-12
7.300E+0	89.430E-12
7.400E+0	89.370E-12
7.500E+0	89.490E-12
7.600E+0	89.550E-12
7.700E+0	89.300E-12
7.800E+0	89.790E-12
7.900E+0	89.630E-12
8.000E+0	89.470E-12
8.100E+0	89.480E-12
8.200E+0	89.750E-12
8.300E+0	89.740E-12
8.400E+0	89.690E-12
8.500E+0	89.450E-12
8.600E+0	89.600E-12
8.700E+0	89.710E-12
8.800E+0	89.580E-12
8.900E+0	89.400E-12
9.000E+0	89.600E-12
9.100E+0	89.670E-12
9.200E+0	89.830E-12
9.300E+0	89.600E-12
9.400E+0	89.580E-12
9.500E+0	89.650E-12
9.600E+0	89.950E-12
9.700E+0	89.910E-12
9.800E+0	89.930E-12
9.900E+0	89.990E-12
10.000E+0	89.730E-12
