Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC1_MOSQuarter_CV	
Temperature(C)= 22.3	Humidity(%)= 14.4	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 10.000E+3	Settling_time(s) = 0.1	
		
Voltage (V)	Capacitance (F)
-5.000E+0	41.220E-12
-4.900E+0	41.210E-12
-4.800E+0	41.410E-12
-4.700E+0	41.260E-12
-4.600E+0	41.240E-12
-4.500E+0	41.290E-12
-4.400E+0	41.190E-12
-4.300E+0	41.060E-12
-4.200E+0	41.190E-12
-4.100E+0	41.000E-12
-4.000E+0	41.020E-12
-3.900E+0	41.010E-12
-3.800E+0	41.080E-12
-3.700E+0	41.190E-12
-3.600E+0	41.040E-12
-3.500E+0	40.950E-12
-3.400E+0	40.880E-12
-3.300E+0	41.190E-12
-3.200E+0	41.010E-12
-3.100E+0	41.100E-12
-3.000E+0	41.090E-12
-2.900E+0	41.120E-12
-2.800E+0	40.580E-12
-2.700E+0	41.000E-12
-2.600E+0	40.710E-12
-2.500E+0	40.620E-12
-2.400E+0	41.040E-12
-2.300E+0	40.730E-12
-2.200E+0	40.540E-12
-2.100E+0	40.840E-12
-2.000E+0	40.350E-12
-1.900E+0	40.560E-12
-1.800E+0	40.580E-12
-1.700E+0	40.500E-12
-1.600E+0	40.610E-12
-1.500E+0	40.560E-12
-1.400E+0	40.450E-12
-1.300E+0	40.350E-12
-1.200E+0	40.240E-12
-1.100E+0	40.570E-12
-1.000E+0	40.260E-12
-900.000E-3	40.340E-12
-800.000E-3	40.150E-12
-700.000E-3	39.820E-12
-600.000E-3	40.130E-12
-500.000E-3	39.820E-12
-400.000E-3	39.950E-12
-300.000E-3	39.840E-12
-200.000E-3	40.280E-12
-100.000E-3	39.680E-12
0.000E+0	39.700E-12
100.000E-3	39.630E-12
200.000E-3	39.460E-12
300.000E-3	39.640E-12
400.000E-3	39.090E-12
500.000E-3	39.090E-12
600.000E-3	39.270E-12
700.000E-3	38.760E-12
800.000E-3	38.670E-12
900.000E-3	38.330E-12
1.000E+0	38.100E-12
1.100E+0	37.570E-12
1.200E+0	37.210E-12
1.300E+0	36.170E-12
1.400E+0	34.940E-12
1.500E+0	32.770E-12
1.600E+0	29.630E-12
1.700E+0	27.330E-12
1.800E+0	27.580E-12
1.900E+0	29.250E-12
2.000E+0	34.800E-12
2.100E+0	41.510E-12
2.200E+0	49.310E-12
2.300E+0	56.760E-12
2.400E+0	63.580E-12
2.500E+0	68.970E-12
2.600E+0	73.730E-12
2.700E+0	77.840E-12
2.800E+0	80.330E-12
2.900E+0	82.280E-12
3.000E+0	83.110E-12
3.100E+0	84.410E-12
3.200E+0	84.790E-12
3.300E+0	85.630E-12
3.400E+0	85.880E-12
3.500E+0	86.520E-12
3.600E+0	86.790E-12
3.700E+0	86.910E-12
3.800E+0	87.240E-12
3.900E+0	87.180E-12
4.000E+0	87.570E-12
4.100E+0	87.510E-12
4.200E+0	88.150E-12
4.300E+0	88.130E-12
4.400E+0	88.320E-12
4.500E+0	88.290E-12
4.600E+0	88.350E-12
4.700E+0	88.570E-12
4.800E+0	88.090E-12
4.900E+0	88.590E-12
5.000E+0	88.770E-12
5.100E+0	88.700E-12
5.200E+0	88.570E-12
5.300E+0	89.010E-12
5.400E+0	89.230E-12
5.500E+0	89.310E-12
5.600E+0	89.040E-12
5.700E+0	89.240E-12
5.800E+0	89.070E-12
5.900E+0	89.250E-12
6.000E+0	88.970E-12
6.100E+0	89.340E-12
6.200E+0	89.240E-12
6.300E+0	89.000E-12
6.400E+0	88.960E-12
6.500E+0	88.950E-12
6.600E+0	89.070E-12
6.700E+0	89.270E-12
6.800E+0	89.190E-12
6.900E+0	89.550E-12
7.000E+0	89.440E-12
7.100E+0	89.150E-12
7.200E+0	89.360E-12
7.300E+0	89.330E-12
7.400E+0	89.700E-12
7.500E+0	89.450E-12
7.600E+0	89.380E-12
7.700E+0	89.560E-12
7.800E+0	89.630E-12
7.900E+0	89.560E-12
8.000E+0	89.460E-12
8.100E+0	89.920E-12
8.200E+0	89.520E-12
8.300E+0	89.540E-12
8.400E+0	89.690E-12
8.500E+0	90.030E-12
8.600E+0	89.450E-12
8.700E+0	89.350E-12
8.800E+0	89.550E-12
8.900E+0	89.310E-12
9.000E+0	89.390E-12
9.100E+0	90.100E-12
9.200E+0	89.700E-12
9.300E+0	89.960E-12
9.400E+0	89.940E-12
9.500E+0	90.080E-12
9.600E+0	90.050E-12
9.700E+0	89.850E-12
9.800E+0	90.260E-12
9.900E+0	89.860E-12
10.000E+0	89.610E-12
