Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC1_VDPStrip_s
Temperature(C)= 22.5	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.590E-3
-950.000E-6	-7.560E-3
-900.000E-6	-7.410E-3
-850.000E-6	-7.150E-3
-800.000E-6	-6.770E-3
-750.000E-6	-6.390E-3
-700.000E-6	-6.010E-3
-650.000E-6	-5.630E-3
-600.000E-6	-5.250E-3
-550.000E-6	-4.870E-3
-500.000E-6	-4.490E-3
-450.000E-6	-4.110E-3
-400.000E-6	-3.890E-3
-350.000E-6	-3.470E-3
-300.000E-6	-3.060E-3
-250.000E-6	-2.650E-3
-200.000E-6	-2.230E-3
-150.000E-6	-1.850E-3
-100.000E-6	-1.620E-3
-50.000E-6	-1.200E-3
0.000E+0	-780.000E-6
50.000E-6	-360.000E-6
100.000E-6	50.000E-6
150.000E-6	430.000E-6
200.000E-6	820.000E-6
250.000E-6	1.200E-3
300.000E-6	1.580E-3
350.000E-6	1.960E-3
400.000E-6	2.190E-3
450.000E-6	2.600E-3
500.000E-6	3.020E-3
550.000E-6	3.440E-3
600.000E-6	3.860E-3
650.000E-6	4.250E-3
700.000E-6	4.630E-3
750.000E-6	5.000E-3
800.000E-6	5.380E-3
850.000E-6	5.760E-3
900.000E-6	6.140E-3
950.000E-6	6.530E-3
1.000E-3	6.910E-3
