Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC2_DielNW_IV	
Temperature(C)= 22.0	Humidity(%)= 8.8	Bias(V)= 0.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
0.000E+0	-6.944E-12
10.000E+0	13.153E-12
20.000E+0	21.321E-12
30.000E+0	23.170E-12
40.000E+0	23.704E-12
50.000E+0	24.059E-12
60.000E+0	24.298E-12
70.000E+0	24.563E-12
80.000E+0	23.684E-12
90.000E+0	21.601E-12
100.000E+0	21.137E-12
110.000E+0	21.149E-12
120.000E+0	21.295E-12
130.000E+0	20.624E-12
140.000E+0	21.383E-12
150.000E+0	21.830E-12
160.000E+0	22.546E-12
170.000E+0	26.439E-12
180.000E+0	49.325E-12
190.000E+0	200.081E-12
200.000E+0	922.683E-12
