Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC2_DielSW_IV	
Temperature(C)= 22.7	Humidity(%)= 6.4	Bias(V)= 0.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
0.000E+0	-7.580E-12
10.000E+0	10.341E-12
20.000E+0	13.825E-12
30.000E+0	20.836E-12
40.000E+0	22.790E-12
50.000E+0	23.685E-12
60.000E+0	24.395E-12
70.000E+0	25.081E-12
80.000E+0	24.256E-12
90.000E+0	23.418E-12
100.000E+0	23.905E-12
110.000E+0	25.019E-12
120.000E+0	26.830E-12
130.000E+0	29.440E-12
140.000E+0	35.716E-12
150.000E+0	49.633E-12
160.000E+0	77.346E-12
170.000E+0	126.494E-12
180.000E+0	42.347E-12
190.000E+0	694.366E-12
200.000E+0	568.757E-12
