Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC2_DielNW_IV	
Temperature(C)= 22.1	Humidity(%)= 6.5	Bias(V)= 0.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
0.000E+0	4.424E-12
10.000E+0	14.386E-12
20.000E+0	21.160E-12
30.000E+0	22.852E-12
40.000E+0	23.258E-12
50.000E+0	23.777E-12
60.000E+0	24.098E-12
70.000E+0	24.194E-12
80.000E+0	22.537E-12
90.000E+0	21.122E-12
100.000E+0	20.811E-12
110.000E+0	20.926E-12
120.000E+0	21.163E-12
130.000E+0	21.000E-12
140.000E+0	21.426E-12
150.000E+0	21.866E-12
160.000E+0	22.547E-12
170.000E+0	25.904E-12
180.000E+0	45.178E-12
190.000E+0	162.044E-12
200.000E+0	665.799E-12
