Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC2_DielNE_IV	
Temperature(C)= 20.3	Humidity(%)= 6.8	Bias(V)= 0.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
0.000E+0	-10.426E-12
10.000E+0	11.828E-12
20.000E+0	15.068E-12
30.000E+0	20.635E-12
40.000E+0	22.062E-12
50.000E+0	22.422E-12
60.000E+0	22.612E-12
70.000E+0	22.916E-12
80.000E+0	22.650E-12
90.000E+0	20.445E-12
100.000E+0	15.322E-12
110.000E+0	14.536E-12
120.000E+0	14.716E-12
130.000E+0	14.488E-12
140.000E+0	14.724E-12
150.000E+0	14.982E-12
160.000E+0	15.629E-12
170.000E+0	23.692E-12
180.000E+0	50.696E-12
190.000E+0	469.772E-12
200.000E+0	806.245E-12
