Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC2_DielNE_IV	
Temperature(C)= 19.8	Humidity(%)= 12.9	Bias(V)= 0.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
0.000E+0	8.644E-12
10.000E+0	14.595E-12
20.000E+0	20.411E-12
30.000E+0	21.698E-12
40.000E+0	22.116E-12
50.000E+0	22.409E-12
60.000E+0	22.569E-12
70.000E+0	22.780E-12
80.000E+0	21.044E-12
90.000E+0	15.434E-12
100.000E+0	14.577E-12
110.000E+0	14.521E-12
120.000E+0	14.694E-12
130.000E+0	14.395E-12
140.000E+0	14.811E-12
150.000E+0	15.146E-12
160.000E+0	15.803E-12
170.000E+0	23.935E-12
180.000E+0	51.209E-12
190.000E+0	207.345E-12
200.000E+0	636.219E-12
