Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC2_DielNE_IV	
Temperature(C)= 22.2	Humidity(%)= 6.9	Bias(V)= 0.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
0.000E+0	-7.080E-12
10.000E+0	12.578E-12
20.000E+0	20.335E-12
30.000E+0	22.120E-12
40.000E+0	22.757E-12
50.000E+0	23.073E-12
60.000E+0	23.327E-12
70.000E+0	23.517E-12
80.000E+0	22.097E-12
90.000E+0	20.731E-12
100.000E+0	20.476E-12
110.000E+0	20.512E-12
120.000E+0	20.735E-12
130.000E+0	15.818E-12
140.000E+0	15.779E-12
150.000E+0	20.172E-12
160.000E+0	21.746E-12
170.000E+0	26.605E-12
180.000E+0	56.473E-12
190.000E+0	619.929E-12
200.000E+0	764.033E-12
