Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC2_GCD_IV	
Temperature(C)= 23.5	Humidity(%)= 6.6	Bias(V)= -5.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-15.000E+0	876.510E-15
-14.900E+0	2.249E-12
-14.800E+0	2.567E-12
-14.700E+0	2.656E-12
-14.600E+0	2.770E-12
-14.500E+0	2.705E-12
-14.400E+0	2.790E-12
-14.300E+0	2.731E-12
-14.200E+0	2.831E-12
-14.100E+0	2.827E-12
-14.000E+0	2.772E-12
-13.900E+0	2.820E-12
-13.800E+0	2.850E-12
-13.700E+0	2.808E-12
-13.600E+0	2.745E-12
-13.500E+0	2.726E-12
-13.400E+0	2.821E-12
-13.300E+0	2.825E-12
-13.200E+0	2.841E-12
-13.100E+0	2.793E-12
-13.000E+0	2.801E-12
-12.900E+0	2.789E-12
-12.800E+0	2.751E-12
-12.700E+0	2.756E-12
-12.600E+0	2.785E-12
-12.500E+0	2.695E-12
-12.400E+0	2.667E-12
-12.300E+0	2.659E-12
-12.200E+0	2.630E-12
-12.100E+0	2.637E-12
-12.000E+0	2.726E-12
-11.900E+0	2.671E-12
-11.800E+0	2.653E-12
-11.700E+0	2.634E-12
-11.600E+0	2.630E-12
-11.500E+0	2.648E-12
-11.400E+0	2.638E-12
-11.300E+0	2.628E-12
-11.200E+0	2.621E-12
-11.100E+0	2.625E-12
-11.000E+0	2.595E-12
-10.900E+0	2.758E-12
-10.800E+0	2.761E-12
-10.700E+0	2.652E-12
-10.600E+0	2.643E-12
-10.500E+0	2.625E-12
-10.400E+0	2.656E-12
-10.300E+0	2.695E-12
-10.200E+0	2.744E-12
-10.100E+0	2.763E-12
-10.000E+0	2.787E-12
-9.900E+0	2.715E-12
-9.800E+0	2.804E-12
-9.700E+0	2.854E-12
-9.600E+0	2.839E-12
-9.500E+0	2.885E-12
-9.400E+0	2.938E-12
-9.300E+0	2.930E-12
-9.200E+0	2.945E-12
-9.100E+0	3.004E-12
-9.000E+0	3.051E-12
-8.900E+0	3.110E-12
-8.800E+0	3.161E-12
-8.700E+0	3.213E-12
-8.600E+0	3.295E-12
-8.500E+0	3.376E-12
-8.400E+0	3.450E-12
-8.300E+0	3.526E-12
-8.200E+0	3.671E-12
