Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC2_GCD_IV	
Temperature(C)= 21.9	Humidity(%)= 8.8	Bias(V)= -5.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-15.000E+0	4.557E-12
-14.900E+0	2.153E-12
-14.800E+0	1.750E-12
-14.700E+0	1.677E-12
-14.600E+0	1.710E-12
-14.500E+0	1.774E-12
-14.400E+0	1.719E-12
-14.300E+0	1.773E-12
-14.200E+0	1.821E-12
-14.100E+0	1.849E-12
-14.000E+0	1.866E-12
-13.900E+0	1.884E-12
-13.800E+0	1.908E-12
-13.700E+0	1.903E-12
-13.600E+0	1.923E-12
-13.500E+0	1.913E-12
-13.400E+0	1.941E-12
-13.300E+0	1.969E-12
-13.200E+0	1.958E-12
-13.100E+0	1.967E-12
-13.000E+0	1.964E-12
-12.900E+0	1.964E-12
-12.800E+0	1.997E-12
-12.700E+0	1.995E-12
-12.600E+0	2.054E-12
-12.500E+0	2.043E-12
-12.400E+0	2.038E-12
-12.300E+0	2.038E-12
-12.200E+0	2.040E-12
-12.100E+0	2.060E-12
-12.000E+0	2.069E-12
-11.900E+0	2.065E-12
-11.800E+0	2.081E-12
-11.700E+0	2.090E-12
-11.600E+0	2.114E-12
-11.500E+0	2.141E-12
-11.400E+0	2.201E-12
-11.300E+0	2.178E-12
-11.200E+0	2.190E-12
-11.100E+0	2.198E-12
-11.000E+0	2.157E-12
-10.900E+0	2.167E-12
-10.800E+0	2.209E-12
-10.700E+0	2.207E-12
-10.600E+0	2.239E-12
-10.500E+0	2.254E-12
-10.400E+0	2.262E-12
-10.300E+0	2.286E-12
-10.200E+0	2.318E-12
-10.100E+0	2.331E-12
-10.000E+0	2.355E-12
-9.900E+0	2.379E-12
-9.800E+0	2.390E-12
-9.700E+0	2.401E-12
-9.600E+0	2.448E-12
-9.500E+0	2.478E-12
-9.400E+0	2.503E-12
-9.300E+0	2.549E-12
-9.200E+0	2.594E-12
-9.100E+0	2.645E-12
-9.000E+0	2.683E-12
-8.900E+0	2.738E-12
-8.800E+0	2.808E-12
-8.700E+0	2.881E-12
-8.600E+0	2.945E-12
-8.500E+0	3.036E-12
-8.400E+0	3.151E-12
-8.300E+0	3.277E-12
-8.200E+0	3.442E-12
-8.100E+0	3.617E-12
-8.000E+0	3.884E-12
-7.900E+0	4.261E-12
-7.800E+0	4.831E-12
-7.700E+0	5.645E-12
-7.600E+0	6.161E-12
-7.500E+0	6.401E-12
-7.400E+0	6.585E-12
-7.300E+0	6.771E-12
-7.200E+0	6.863E-12
-7.100E+0	6.879E-12
-7.000E+0	6.875E-12
-6.900E+0	6.861E-12
-6.800E+0	6.852E-12
-6.700E+0	6.829E-12
-6.600E+0	6.828E-12
-6.500E+0	6.858E-12
-6.400E+0	6.854E-12
-6.300E+0	6.849E-12
-6.200E+0	6.891E-12
-6.100E+0	6.867E-12
-6.000E+0	6.862E-12
-5.900E+0	6.888E-12
-5.800E+0	6.866E-12
-5.700E+0	6.860E-12
-5.600E+0	6.817E-12
-5.500E+0	6.818E-12
-5.400E+0	6.821E-12
-5.300E+0	6.822E-12
-5.200E+0	6.824E-12
-5.100E+0	6.844E-12
-5.000E+0	6.803E-12
-4.900E+0	6.782E-12
-4.800E+0	6.784E-12
-4.700E+0	6.786E-12
-4.600E+0	6.773E-12
-4.500E+0	6.774E-12
-4.400E+0	6.749E-12
-4.300E+0	6.739E-12
-4.200E+0	6.738E-12
-4.100E+0	6.760E-12
-4.000E+0	6.711E-12
-3.900E+0	6.694E-12
-3.800E+0	6.693E-12
-3.700E+0	6.671E-12
-3.600E+0	6.656E-12
-3.500E+0	6.630E-12
-3.400E+0	6.617E-12
-3.300E+0	6.588E-12
-3.200E+0	6.577E-12
-3.100E+0	6.550E-12
-3.000E+0	6.531E-12
-2.900E+0	6.480E-12
-2.800E+0	6.441E-12
-2.700E+0	6.387E-12
-2.600E+0	6.317E-12
-2.500E+0	6.195E-12
-2.400E+0	6.000E-12
-2.300E+0	5.683E-12
-2.200E+0	4.995E-12
-2.100E+0	3.481E-12
-2.000E+0	2.332E-12
-1.900E+0	1.784E-12
-1.800E+0	1.334E-12
-1.700E+0	1.017E-12
-1.600E+0	838.060E-15
-1.500E+0	742.990E-15
-1.400E+0	675.180E-15
-1.300E+0	639.360E-15
-1.200E+0	623.020E-15
-1.100E+0	628.550E-15
-1.000E+0	606.870E-15
-900.000E-3	586.650E-15
-800.000E-3	587.190E-15
-700.000E-3	584.230E-15
-600.000E-3	579.390E-15
-500.000E-3	617.030E-15
-400.000E-3	602.170E-15
-300.000E-3	578.170E-15
-200.000E-3	568.850E-15
-100.000E-3	556.640E-15
0.000E+0	600.450E-15
100.000E-3	555.200E-15
200.000E-3	549.090E-15
300.000E-3	529.220E-15
400.000E-3	536.510E-15
500.000E-3	551.010E-15
600.000E-3	536.660E-15
700.000E-3	534.460E-15
800.000E-3	546.140E-15
900.000E-3	548.770E-15
1.000E+0	520.450E-15
1.100E+0	551.370E-15
1.200E+0	532.940E-15
1.300E+0	525.700E-15
1.400E+0	531.080E-15
1.500E+0	567.460E-15
1.600E+0	558.130E-15
1.700E+0	537.780E-15
1.800E+0	535.230E-15
1.900E+0	537.120E-15
2.000E+0	505.440E-15
2.100E+0	506.920E-15
2.200E+0	544.120E-15
2.300E+0	543.520E-15
2.400E+0	564.840E-15
2.500E+0	541.100E-15
2.600E+0	554.720E-15
2.700E+0	543.120E-15
2.800E+0	541.450E-15
2.900E+0	529.370E-15
3.000E+0	542.420E-15
3.100E+0	543.060E-15
3.200E+0	548.810E-15
3.300E+0	518.520E-15
3.400E+0	552.900E-15
3.500E+0	505.210E-15
3.600E+0	516.040E-15
3.700E+0	473.130E-15
3.800E+0	477.400E-15
3.900E+0	465.130E-15
4.000E+0	490.720E-15
4.100E+0	489.060E-15
4.200E+0	486.380E-15
