Custom_Flutes_23-Nov-20_3:24:20 PM	Left_PQC2_LinewidthStop
Temperature(C)= 21.4	Humidity(%)= 10.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.110E-3
-950.000E-9	-47.870E-3
-900.000E-9	-47.400E-3
-850.000E-9	-46.450E-3
-800.000E-9	-44.080E-3
-750.000E-9	-41.230E-3
-700.000E-9	-39.330E-3
-650.000E-9	-37.420E-3
-600.000E-9	-35.500E-3
-550.000E-9	-32.380E-3
-500.000E-9	-29.240E-3
-450.000E-9	-26.340E-3
-400.000E-9	-23.670E-3
-350.000E-9	-22.210E-3
-300.000E-9	-19.530E-3
-250.000E-9	-16.850E-3
-200.000E-9	-14.150E-3
-150.000E-9	-11.450E-3
-100.000E-9	-8.990E-3
-50.000E-9	-7.520E-3
0.000E+0	-4.800E-3
50.000E-9	-2.070E-3
100.000E-9	640.000E-6
150.000E-9	3.380E-3
200.000E-9	5.870E-3
250.000E-9	8.360E-3
300.000E-9	10.860E-3
350.000E-9	13.360E-3
400.000E-9	15.870E-3
450.000E-9	18.380E-3
500.000E-9	20.900E-3
550.000E-9	23.420E-3
600.000E-9	25.940E-3
650.000E-9	27.450E-3
700.000E-9	30.230E-3
750.000E-9	33.020E-3
800.000E-9	35.810E-3
850.000E-9	38.600E-3
900.000E-9	41.150E-3
950.000E-9	43.690E-3
1.000E-6	46.240E-3
